Xunlei Price to Free Cash Flow Ratio Historical Data,Xunlei Price to Free Cash Flow Ratio Historical Data,Xunlei Price to Free Cash Flow Ratio Historical Data,Xunlei Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.07,,15.24
2024-09-30,1.85,$0.33,5.56
2024-06-30,1.68,$0.33,5.05
2024-03-31,1.49,$0.33,4.48
2023-12-31,1.62,$0.33,4.87
2023-09-30,1.62,$0.54,3.01
2023-06-30,1.98,$0.54,3.68
2023-03-31,1.84,$0.54,3.42
2022-12-31,1.82,$0.54,3.39
2022-09-30,1.39,$0.10,14.4
2022-06-30,1.58,$0.10,16.37
2022-03-31,1.76,$0.10,18.24
2021-12-31,2.01,$0.10,20.83
2021-09-30,2.86,$-0.40,0.0
2021-06-30,4.56,$-0.40,0.0
2021-03-31,6.54,$-0.40,0.0
2020-12-31,2.89,$-0.40,0.0
2020-09-30,3.44,$-0.88,0.0
2020-06-30,3.48,$-0.88,0.0
2020-03-31,3.3,$-0.88,0.0
2019-12-31,4.9,$-0.88,0.0
2019-09-30,2.29,$-0.59,0.0
2019-06-30,2.62,$-0.59,0.0
2019-03-31,3.66,$-0.59,0.0
2018-12-31,3.4,$-0.59,0.0
2018-09-30,7.26,$-0.35,0.0
2018-06-30,10.7,$-0.35,0.0
2018-03-31,10.09,$-0.35,0.0
2017-12-31,15.39,$-0.35,0.0
2017-09-30,4.25,$0.05,87.81
2017-06-30,3.24,$0.05,66.94
2017-03-31,4.05,$0.05,83.68
2016-12-31,3.86,$0.05,79.75
2016-09-30,5.39,$0.13,41.11
2016-06-30,5.24,$0.13,39.97
2016-03-31,6.11,$0.13,46.61
2015-12-31,7.56,$0.13,57.67
2015-09-30,7.3,$0.61,11.92
2015-06-30,12.04,$0.61,19.66
2015-03-31,6.37,$0.61,10.4
