Stabilis Solutions Price to Free Cash Flow Ratio Historical Data,Stabilis Solutions Price to Free Cash Flow Ratio Historical Data,Stabilis Solutions Price to Free Cash Flow Ratio Historical Data,Stabilis Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.06,,17.46
2024-12-31,5.35,$0.29,18.46
2024-09-30,4.74,$0.52,9.12
2024-06-30,3.85,$0.31,12.47
2024-03-31,4.21,$0.25,16.95
2023-12-31,4.15,$-0.12,0.0
2023-09-30,4.25,$-0.13,0.0
2023-06-30,5.03,$0.32,15.6
2023-03-31,3.65,$0.26,14.22
2022-12-31,5.32,$0.59,8.95
2022-09-30,7.74,$0.42,18.48
2022-06-30,4.04,$0.21,19.69
2022-03-31,5.0,$-0.17,0.0
2021-12-31,4.23,$-0.17,0.0
2021-09-30,7.0,$-0.12,0.0
2021-06-30,9.95,$-0.35,0.0
2021-03-31,6.23,$0.18,33.99
2020-12-31,6.23,$0.06,97.34
2020-09-30,6.23,$0.16,39.38
2020-06-30,6.23,$0.14,45.81
2020-03-31,6.23,$0.09,67.5
2019-12-31,6.23,$0.15,42.53
2019-09-30,6.5,$0.62,10.56
2019-06-30,5.6,$-0.84,0.0
2019-03-31,6.82,$1.63,4.17
2018-12-31,6.96,$0.10,66.67
2018-09-30,5.64,$1.33,4.23
2018-06-30,10.0,$0.62,16.07
2018-03-31,8.8,$-0.77,0.0
2017-12-31,12.0,$-0.29,0.0
2017-09-30,12.77,$-3.18,0.0
2017-06-30,14.16,$-2.35,0.0
2017-03-31,17.2,$-6.05,0.0
2016-12-31,12.4,$-6.76,0.0
2016-09-30,19.2,$-6.99,0.0
2016-06-30,21.2,$-4.59,0.0
2016-03-31,14.48,$0.77,18.93
2015-12-31,16.8,$1.73,9.73
2015-09-30,20.8,$0.88,23.71
2015-06-30,40.8,$-2.18,0.0
2015-03-31,33.68,$-4.18,0.0
2014-12-31,44.24,$-6.93,0.0
2014-09-30,59.28,$-4.27,0.0
2014-06-30,54.4,$-4.08,0.0
2014-03-31,54.32,$-4.64,0.0
2013-12-31,79.84,$-0.32,0.0
2013-09-30,56.72,$-1.50,0.0
2013-06-30,57.04,$3.08,18.5
2013-03-31,41.76,$1.23,33.83
2012-12-31,40.32,$-0.42,0.0
2012-09-30,37.92,$2.11,17.94
2012-06-30,34.0,$-1.07,0.0
2012-03-31,39.84,$-0.77,0.0
2011-12-31,40.62,$0.54,75.72
2011-09-30,29.6,$-2.36,0.0
2011-06-30,27.76,$-1.71,0.0
2011-03-31,21.84,$-1.11,0.0
2010-12-31,17.84,$-2.10,0.0
2010-09-30,18.56,$-0.63,0.0
2010-06-30,16.72,$-0.68,0.0
2010-03-31,22.16,$-0.51,0.0
2009-12-31,18.08,$0.71,25.43
