HUYA Price to Free Cash Flow Ratio Historical Data,HUYA Price to Free Cash Flow Ratio Historical Data,HUYA Price to Free Cash Flow Ratio Historical Data,HUYA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.21,,0.0
2024-09-30,4.12,$-0.09,0.0
2024-06-30,3.19,$-0.09,0.0
2024-03-31,3.17,$-0.09,0.0
2023-12-31,2.55,$-0.09,0.0
2023-09-30,1.98,$-0.36,0.0
2023-06-30,2.5,$-0.36,0.0
2023-03-31,2.52,$-0.36,0.0
2022-12-31,2.76,$-0.36,0.0
2022-09-30,1.55,$0.19,8.23
2022-06-30,2.71,$0.19,14.39
2022-03-31,3.12,$0.19,16.58
2021-12-31,4.84,$0.19,25.74
2021-09-30,5.82,$0.76,7.63
2021-06-30,12.31,$0.76,16.16
2021-03-31,13.59,$0.76,17.83
2020-12-31,13.9,$0.76,18.24
2020-09-30,16.71,$1.17,14.32
2020-06-30,13.02,$1.17,11.16
2020-03-31,11.82,$1.17,10.13
2019-12-31,12.52,$1.17,10.73
2019-09-30,16.49,$0.56,29.43
2019-06-30,17.24,$0.56,30.76
2019-03-31,19.62,$0.56,35.02
