Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,164.77,,19.9
2024-12-31,144.84,$8.28,17.49
2024-09-30,145.79,$10.20,14.3
2024-06-30,153.15,$9.71,15.77
2024-03-31,152.9,$9.81,15.59
2023-12-31,143.07,$10.52,13.6
2023-09-30,160.03,$10.70,14.95
2023-06-30,147.94,$14.44,10.24
2023-03-31,151.91,$18.45,8.23
2022-12-31,165.63,$19.40,8.54
2022-09-30,131.56,$18.50,7.11
2022-06-30,131.41,$15.58,8.44
2022-03-31,146.55,$12.86,11.39
2021-12-31,104.51,$11.01,9.5
2021-09-30,89.31,$7.52,11.88
2021-06-30,90.95,$5.07,17.94
2021-03-31,89.86,$1.31,68.49
2020-12-31,71.43,$0.89,80.71
2020-09-30,60.01,$1.56,38.45
2020-06-30,73.29,$2.90,25.28
2020-03-31,58.7,$6.71,8.75
2019-12-31,96.49,$6.96,13.85
2019-09-30,94.03,$8.91,10.55
2019-06-30,97.66,$9.67,10.1
2019-03-31,95.73,$8.83,10.84
2018-12-31,83.7,$8.79,9.52
2018-09-30,93.19,$7.37,12.64
2018-06-30,95.44,$5.44,17.53
2018-03-31,85.35,$4.48,19.06
2017-12-31,92.77,$3.65,25.39
2017-09-30,86.26,$2.19,39.43
2017-06-30,75.83,$1.67,45.33
2017-03-31,77.24,$-0.28,0.0
2016-12-31,83.87,$-2.89,0.0
2016-09-30,72.61,$-4.25,0.0
2016-06-30,73.19,$-5.72,0.0
2016-03-31,65.91,$-4.91,0.0
2015-12-31,61.38,$-5.36,0.0
2015-09-30,53.19,$-5.49,0.0
2015-06-30,64.23,$-4.49,0.0
2015-03-31,69.21,$-4.82,0.0
2014-12-31,73.25,$-2.07,0.0
2014-09-30,77.2,$-1.00,0.0
2014-06-30,83.76,$-0.86,0.0
2014-03-31,75.64,$-0.34,0.0
2013-12-31,78.75,$-1.54,0.0
2013-09-30,75.96,$0.22,351.2
2013-06-30,73.38,$-0.01,0.0
2013-03-31,73.08,$1.47,49.61
2012-12-31,66.0,$4.01,16.47
2012-09-30,70.52,$3.72,18.96
2012-06-30,63.32,$5.98,10.58
2012-03-31,63.77,$5.98,10.66
2011-12-31,62.81,$7.29,8.61
2011-09-30,54.22,$7.79,6.96
2011-06-30,59.75,$6.58,9.07
2011-03-31,61.97,$6.65,9.31
2010-12-31,52.22,$5.85,8.93
2010-09-30,45.98,$5.31,8.65
2010-06-30,38.14,$5.42,7.04
2010-03-31,42.23,$3.33,12.69
2009-12-31,42.47,$-0.23,0.0
