Barinthus Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Barinthus Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Barinthus Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Barinthus Biotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.01,,0.0
2024-12-31,1.21,$-0.76,0.0
2024-09-30,1.19,$-1.59,0.0
2024-06-30,1.4,$-1.42,0.0
2024-03-31,2.38,$-1.63,0.0
2023-12-31,3.69,$-1.47,0.0
2023-09-30,3.09,$-1.27,0.0
2023-06-30,2.06,$-0.72,0.0
2023-03-31,2.24,$-0.48,0.0
2022-12-31,2.35,$-0.53,0.0
2022-09-30,3.2,$-0.79,0.0
2022-06-30,4.45,$-0.85,0.0
2022-03-31,5.2,$-1.50,0.0
