Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,609.02,,46.31
2024-12-31,591.7,$13.15,44.99
2024-09-30,924.5,$13.88,66.6
2024-06-30,820.57,$12.89,63.67
2024-03-31,675.48,$12.33,54.77
2023-12-31,627.81,$11.91,52.73
2023-09-30,459.1,$9.85,46.59
2023-06-30,535.65,$6.28,85.33
2023-03-31,495.37,$6.53,75.86
2022-12-31,349.26,$3.88,89.92
2022-09-30,358.17,$3.29,108.88
2022-06-30,377.73,$5.89,64.14
2022-03-31,476.79,$5.16,92.36
2021-12-31,483.56,$4.71,102.65
2021-09-30,474.5,$5.94,79.91
2021-06-30,365.16,$5.10,71.66
2021-03-31,344.82,$4.84,71.21
2020-12-31,356.9,$4.51,79.08
2020-09-30,272.11,$4.21,64.59
2020-06-30,230.23,$4.53,50.83
2020-03-31,162.32,$4.12,39.36
2019-12-31,172.04,$2.84,60.67
2019-09-30,150.06,$2.66,56.43
2019-06-30,130.59,$2.17,60.26
2019-03-31,129.92,$2.07,62.89
2018-12-31,111.14,$2.67,41.68
2018-09-30,119.7,$1.99,60.27
2018-06-30,127.16,$1.60,79.3
2018-03-31,109.89,$1.34,82.28
2017-12-31,106.37,$1.56,68.11
2017-09-30,100.69,$1.82,55.36
2017-06-30,90.93,$1.69,53.9
2017-03-31,86.7,$1.55,56.0
2016-12-31,76.96,$1.69,45.64
2016-09-30,75.43,$1.55,48.56
2016-06-30,63.86,$1.52,42.1
2016-03-31,59.3,$1.62,36.67
2015-12-31,59.18,$1.32,44.74
2015-09-30,47.41,$1.38,34.39
2015-06-30,46.77,$1.24,37.87
2015-03-31,48.37,$1.71,28.36
2014-12-31,45.53,$1.62,28.03
2014-09-30,40.2,$1.94,20.72
2014-06-30,38.52,$1.67,23.13
2014-03-31,35.14,$1.27,27.71
2013-12-31,31.41,$1.17,26.95
2013-09-30,27.44,$0.63,43.47
2013-06-30,21.85,$0.43,50.86
2013-03-31,22.09,$0.16,141.94
2012-12-31,20.19,$0.11,189.23
2012-09-30,17.1,$0.16,106.63
2012-06-30,17.19,$0.15,111.04
2012-03-31,17.03,$0.54,31.6
2011-12-31,13.05,$0.64,20.25
2011-09-30,8.82,$0.50,17.71
2011-06-30,13.35,$0.88,15.1
2011-03-31,12.29,$0.70,17.56
2010-12-31,14.31,$0.68,21.04
2010-09-30,14.14,$0.89,15.82
2010-06-30,15.47,$0.63,24.68
2010-03-31,19.31,$0.73,26.39
2009-12-31,20.76,$0.60,34.87
