International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data,International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data,International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data,International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,79.74,,32.51
2024-12-31,84.55,$2.45,34.47
2024-09-30,104.93,$3.73,28.12
2024-06-30,94.84,$3.95,23.98
2024-03-31,85.3,$3.87,22.01
2023-12-31,79.94,$3.78,21.17
2023-09-30,66.64,$1.88,35.38
2023-06-30,76.89,$1.14,67.61
2023-03-31,87.92,$-0.02,0.0
2022-12-31,99.27,$-0.39,0.0
2022-09-30,85.34,$0.25,342.86
2022-06-30,111.0,$1.16,95.47
2022-03-31,121.55,$2.55,47.6
2021-12-31,138.58,$4.37,31.71
2021-09-30,122.34,$5.54,22.1
2021-06-30,135.87,$5.69,23.86
2021-03-31,126.32,$6.27,20.16
2020-12-31,97.93,$4.73,20.71
2020-09-30,109.42,$4.91,22.27
2020-06-30,108.7,$4.80,22.65
2020-03-31,90.06,$4.28,21.05
2019-12-31,113.02,$4.47,25.29
2019-09-30,106.84,$4.16,25.66
2019-06-30,125.56,$4.08,30.8
2019-03-31,110.9,$3.63,30.56
2018-12-31,114.94,$3.13,36.74
2018-09-30,118.44,$3.18,37.28
2018-06-30,104.99,$3.20,32.8
2018-03-31,115.32,$3.04,37.94
2017-12-31,127.88,$3.50,36.52
2017-09-30,119.22,$3.49,34.11
2017-06-30,112.08,$3.88,28.89
2017-03-31,109.51,$5.05,21.67
2016-12-31,96.91,$5.38,18.0
2016-09-30,116.95,$5.16,22.67
2016-06-30,102.66,$4.64,22.13
2016-03-31,92.24,$4.65,19.84
2015-12-31,96.52,$4.58,21.07
2015-09-30,82.92,$4.79,17.33
2015-06-30,87.29,$5.07,17.23
2015-03-31,93.38,$4.77,19.57
2014-12-31,80.3,$4.64,17.29
2014-09-30,75.62,$4.11,18.4
2014-06-30,81.85,$3.95,20.73
2014-03-31,74.8,$3.84,19.46
2013-12-31,66.94,$3.67,18.24
2013-09-30,63.79,$4.07,15.67
2013-06-30,57.98,$2.34,24.8
2013-03-31,58.88,$2.01,29.29
2012-12-31,50.87,$2.44,20.87
2012-09-30,45.32,$0.90,50.29
2012-06-30,41.45,$2.29,18.06
2012-03-31,44.08,$1.73,25.52
2011-12-31,39.22,$0.77,51.17
2011-09-30,41.81,$1.19,35.14
2011-06-30,47.53,$0.94,50.67
2011-03-31,45.9,$1.70,26.93
2010-12-31,40.77,$2.62,15.58
2010-09-30,35.41,$2.65,13.39
2010-06-30,30.79,$3.13,9.83
2010-03-31,34.41,$3.38,10.18
2009-12-31,29.54,$2.87,10.31
