Tenable Holdings Price to Free Cash Flow Ratio Historical Data,Tenable Holdings Price to Free Cash Flow Ratio Historical Data,Tenable Holdings Price to Free Cash Flow Ratio Historical Data,Tenable Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.13,,20.76
2024-12-31,39.38,$1.74,22.62
2024-09-30,40.52,$1.39,29.1
2024-06-30,43.58,$1.30,33.62
2024-03-31,49.43,$1.30,38.16
2023-12-31,46.06,$1.22,37.67
2023-09-30,44.8,$1.15,38.88
2023-06-30,43.55,$1.09,40.09
2023-03-31,47.51,$1.08,44.07
2022-12-31,38.15,$1.01,37.92
2022-09-30,34.8,$0.95,36.81
2022-06-30,45.41,$0.84,54.31
2022-03-31,57.79,$0.74,77.61
2021-12-31,55.07,$0.85,64.95
2021-09-30,46.14,$0.83,55.44
2021-06-30,41.35,$0.83,50.0
2021-03-31,36.19,$0.76,47.9
2020-12-31,52.26,$0.44,120.08
2020-09-30,37.75,$0.13,300.08
2020-06-30,29.81,$-0.14,0.0
2020-03-31,21.86,$-0.25,0.0
2019-12-31,23.96,$-0.33,0.0
2019-09-30,22.38,$-0.27,0.0
2019-06-30,28.54,$-0.24,0.0
