Nkarta Price to Free Cash Flow Ratio Historical Data,Nkarta Price to Free Cash Flow Ratio Historical Data,Nkarta Price to Free Cash Flow Ratio Historical Data,Nkarta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.5,,0.0
2024-09-30,4.52,$-1.68,0.0
2024-06-30,5.91,$-1.87,0.0
2024-03-31,10.81,$-2.38,0.0
2023-12-31,6.6,$-2.33,0.0
2023-09-30,1.39,$-2.83,0.0
2023-06-30,2.19,$-2.67,0.0
2023-03-31,3.55,$-2.30,0.0
2022-12-31,5.99,$-2.39,0.0
2022-09-30,13.16,$-1.84,0.0
2022-06-30,12.32,$-2.06,0.0
2022-03-31,11.38,$-2.35,0.0
2021-12-31,15.35,$-2.22,0.0
2021-09-30,27.81,$-3.49,0.0
2021-06-30,31.69,$-4.09,0.0
