Savers Value Village Price to Free Cash Flow Ratio Historical Data,Savers Value Village Price to Free Cash Flow Ratio Historical Data,Savers Value Village Price to Free Cash Flow Ratio Historical Data,Savers Value Village Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.07,,41.49
2024-12-31,10.25,$0.17,60.15
2024-09-30,10.52,$0.34,31.14
2024-06-30,12.24,$0.50,24.65
2024-03-31,19.28,$0.36,53.75
