Philip Morris Price to Free Cash Flow Ratio Historical Data,Philip Morris Price to Free Cash Flow Ratio Historical Data,Philip Morris Price to Free Cash Flow Ratio Historical Data,Philip Morris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,152.47,,22.02
2024-12-31,120.35,$6.92,17.38
2024-09-30,121.4,$6.46,18.8
2024-06-30,100.21,$6.51,15.39
2024-03-31,89.44,$5.76,15.54
2023-12-31,90.59,$5.08,17.85
2023-09-30,87.9,$4.92,17.88
2023-06-30,91.38,$4.77,19.14
2023-03-31,89.84,$4.90,18.34
2022-12-31,92.23,$6.27,14.72
2022-09-30,74.7,$6.90,10.82
2022-06-30,87.58,$7.47,11.72
2022-03-31,82.28,$7.61,10.82
2021-12-31,82.09,$7.20,11.41
2021-09-30,80.82,$6.73,12.01
2021-06-30,83.44,$6.57,12.7
2021-03-31,73.82,$5.47,13.49
2020-12-31,67.95,$5.91,11.5
2020-09-30,60.67,$6.01,10.1
2020-06-30,55.79,$5.00,11.16
2020-03-31,57.17,$5.95,9.61
2019-12-31,65.43,$5.94,11.02
2019-09-30,57.6,$5.24,10.98
2019-06-30,58.61,$4.90,11.96
2019-03-31,65.01,$5.11,12.73
2018-12-31,48.47,$5.17,9.37
2018-09-30,58.28,$5.36,10.88
2018-06-30,56.9,$5.44,10.46
2018-03-31,69.06,$5.04,13.7
2017-12-31,72.61,$4.74,15.31
2017-09-30,75.52,$4.32,17.49
2017-06-30,79.14,$5.19,15.24
2017-03-31,75.42,$4.65,16.2
2016-12-31,60.57,$4.45,13.6
2016-09-30,63.63,$4.35,14.63
2016-06-30,65.88,$4.11,16.02
2016-03-31,62.91,$4.98,12.62
2015-12-31,55.78,$4.46,12.51
2015-09-30,49.75,$4.09,12.17
2015-06-30,49.64,$4.22,11.77
2015-03-31,46.07,$3.54,13.01
2014-12-31,49.18,$4.21,11.69
2014-09-30,49.76,$4.75,10.47
2014-06-30,49.71,$4.92,10.1
2014-03-31,47.77,$5.12,9.34
2013-12-31,50.25,$5.51,9.12
2013-09-30,49.39,$5.09,9.71
2013-06-30,48.88,$4.50,10.86
2013-03-31,51.81,$4.65,11.13
2012-12-31,46.31,$4.94,9.37
2012-09-30,49.3,$4.51,10.93
2012-06-30,47.38,$4.87,9.74
2012-03-31,47.68,$5.19,9.18
2011-12-31,41.86,$5.47,7.66
2011-09-30,32.94,$5.85,5.63
2011-06-30,34.84,$5.45,6.39
2011-03-31,33.93,$5.01,6.77
2010-12-31,29.95,$4.74,6.32
2010-09-30,28.36,$4.68,6.05
2010-06-30,22.94,$4.28,5.36
2010-03-31,25.77,$4.01,6.43
2009-12-31,23.55,$3.68,6.41
