Cyngn Price to Free Cash Flow Ratio Historical Data,Cyngn Price to Free Cash Flow Ratio Historical Data,Cyngn Price to Free Cash Flow Ratio Historical Data,Cyngn Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.64,,0.0
2024-12-31,0.85,$-777.48,0.0
2024-09-30,3.89,"$-2,470.84",0.0
2024-06-30,0.07,"$-3,692.06",0.0
2024-03-31,0.17,"$-4,687.40",0.0
2023-12-31,0.14,"$-5,822.13",0.0
2023-09-30,0.48,"$-6,994.95",0.0
2023-06-30,1.28,"$-7,345.46",0.0
2023-03-31,1.24,"$-9,660.13",0.0
2022-12-31,0.67,"$-7,353.16",0.0
2022-09-30,1.0,"$-4,937.69",0.0
