Mesa Air Price to Free Cash Flow Ratio Historical Data,Mesa Air Price to Free Cash Flow Ratio Historical Data,Mesa Air Price to Free Cash Flow Ratio Historical Data,Mesa Air Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,0.25
2024-06-30,1.71,$3.82,0.45
2024-03-31,0.88,$4.17,0.21
2023-12-31,1.01,$4.56,0.22
2023-09-30,0.86,$2.99,0.29
2023-06-30,2.55,$3.68,0.69
2023-03-31,2.37,$2.31,1.03
2022-12-31,1.53,$0.61,2.5
2022-09-30,1.65,$0.62,2.64
2022-06-30,2.19,$-0.65,0.0
2022-03-31,4.4,$0.75,5.88
2021-12-31,5.6,$0.25,22.11
2021-09-30,7.66,$2.98,2.57
2021-06-30,9.33,$4.86,1.92
2021-03-31,13.45,$4.58,2.93
2020-12-31,6.69,$5.51,1.21
2020-09-30,2.95,$4.19,0.7
2020-06-30,3.44,$3.06,1.12
2020-03-31,3.29,$1.23,2.68
2019-12-31,8.94,$1.05,8.54
2019-09-30,6.75,$0.76,8.84
2019-06-30,9.14,$-0.04,0.0
