Himalaya Shipping Price to Free Cash Flow Ratio Historical Data,Himalaya Shipping Price to Free Cash Flow Ratio Historical Data,Himalaya Shipping Price to Free Cash Flow Ratio Historical Data,Himalaya Shipping Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.02,,1.79
2024-09-30,8.66,$3.37,2.57
2024-06-30,9.16,$0.01,0.0
2024-03-31,7.71,$0.74,10.43
2023-12-31,6.76,0,0.0
