WideOpenWest Price to Free Cash Flow Ratio Historical Data,WideOpenWest Price to Free Cash Flow Ratio Historical Data,WideOpenWest Price to Free Cash Flow Ratio Historical Data,WideOpenWest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.86,,0.0
2024-12-31,4.96,$-0.64,0.0
2024-09-30,5.25,$-0.81,0.0
2024-06-30,5.41,$-1.08,0.0
2024-03-31,3.62,$-1.79,0.0
2023-12-31,4.05,$-1.64,0.0
2023-09-30,7.65,$-1.33,0.0
2023-06-30,8.44,$-1.12,0.0
2023-03-31,10.63,$-2.01,0.0
2022-12-31,9.11,$-1.59,0.0
2022-09-30,12.27,$-2.74,0.0
2022-06-30,18.21,$-2.39,0.0
2022-03-31,17.44,$-0.55,0.0
2021-12-31,21.52,$-0.41,0.0
2021-09-30,19.65,$0.99,19.92
2021-06-30,20.71,$0.88,23.47
2021-03-31,13.59,$0.82,16.52
2020-12-31,10.67,$0.53,20.1
2020-09-30,5.19,$0.79,6.55
2020-06-30,5.27,$0.49,10.78
2020-03-31,4.76,$0.27,17.76
2019-12-31,7.42,$0.23,31.86
2019-09-30,6.16,$-0.52,0.0
2019-06-30,7.26,$-0.68,0.0
2019-03-31,9.1,$-0.87,0.0
2018-12-31,7.13,$-0.55,0.0
2018-09-30,11.21,$-0.27,0.0
2018-06-30,9.66,$-3.58,0.0
2018-03-31,7.15,$-1.12,0.0
