Viemed Healthcare Price to Free Cash Flow Ratio Historical Data,Viemed Healthcare Price to Free Cash Flow Ratio Historical Data,Viemed Healthcare Price to Free Cash Flow Ratio Historical Data,Viemed Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.36,,25.81
2024-12-31,8.02,$0.29,28.12
2024-09-30,7.33,$0.28,26.02
2024-06-30,6.55,$0.26,25.26
2024-03-31,9.43,$0.27,34.98
2023-12-31,7.85,$0.54,14.6
2023-09-30,6.73,$0.45,14.94
2023-06-30,9.78,$0.33,29.65
2023-03-31,9.66,$0.23,42.37
2022-12-31,7.56,$0.15,50.91
2022-09-30,6.0,$0.14,42.11
2022-06-30,5.38,$0.03,201.5
2022-03-31,4.98,$0.10,52.2
2021-12-31,5.22,$0.08,63.43
2021-09-30,5.55,$0.07,84.09
2021-06-30,7.15,$0.25,28.75
2021-03-31,10.12,$0.77,13.09
2020-12-31,7.76,$0.67,11.51
2020-09-30,8.64,$0.76,11.36
2020-06-30,9.6,$0.68,14.07
