Shuttle Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Shuttle Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Shuttle Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Shuttle Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.41,,0.0
2024-12-31,0.86,$-2.54,0.0
2024-09-30,1.33,$-2.64,0.0
2024-06-30,0.4,$-2.58,0.0
2024-03-31,0.41,$-2.81,0.0
2023-12-31,0.46,$-3.00,0.0
2023-09-30,0.61,$-2.70,0.0
2023-06-30,1.15,$-3.67,0.0
