BP Prudhoe Bay Royalty Trust Price to Free Cash Flow Ratio Historical Data,BP Prudhoe Bay Royalty Trust Price to Free Cash Flow Ratio Historical Data,BP Prudhoe Bay Royalty Trust Price to Free Cash Flow Ratio Historical Data,BP Prudhoe Bay Royalty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.58,,inf
2024-09-30,1.08,0.0,0.0
2024-06-30,2.47,0.0,0.0
2024-03-31,2.43,0.0,0.0
2023-12-31,2.47,0.0,0.0
2023-09-30,7.15,0.0,0.0
2023-06-30,4.56,0.0,0.0
2023-03-31,7.64,0.0,0.0
2022-12-31,11.4,0.0,0.0
2022-09-30,11.08,0.0,0.0
2022-06-30,17.48,0.0,0.0
2022-03-31,11.94,0.0,0.0
2021-12-31,2.82,0.0,0.0
2021-09-30,2.89,0.0,0.0
2021-06-30,3.58,0.0,0.0
2021-03-31,2.62,0.0,0.0
2020-12-31,1.67,0.0,0.0
2020-09-30,1.04,0.0,0.0
2020-06-30,2.33,0.0,0.0
2020-03-31,3.7,0.0,0.0
2019-12-31,4.59,0.0,0.0
2019-09-30,5.9,0.0,0.0
2019-06-30,9.58,0.0,0.0
2019-03-31,16.2,0.0,0.0
2018-12-31,12.66,0.0,0.0
2018-09-30,19.36,0.0,0.0
2018-06-30,16.06,0.0,0.0
2018-03-31,12.14,0.0,0.0
2017-12-31,9.69,0.0,0.0
2017-09-30,10.5,0.0,0.0
2017-06-30,9.7,0.0,0.0
2017-03-31,8.59,0.0,0.0
2016-12-31,9.82,0.0,0.0
2016-09-30,7.47,0.0,0.0
2016-06-30,7.12,0.0,0.0
2016-03-31,5.41,0.0,0.0
2015-12-31,9.31,0.0,0.0
2015-09-30,15.1,0.0,0.0
2015-06-30,22.13,0.0,0.0
2015-03-31,20.54,0.0,0.0
2014-12-31,23.03,0.0,0.0
2014-09-30,31.31,0.0,0.0
2014-06-30,31.86,0.0,0.0
2014-03-31,26.25,0.0,0.0
2013-12-31,23.97,0.0,0.0
2013-09-30,25.45,0.0,0.0
2013-06-30,27.64,0.0,0.0
2013-03-31,23.28,0.0,0.0
2012-12-31,18.55,0.0,0.0
2012-09-30,24.9,0.0,0.0
2012-06-30,30.32,0.0,0.0
2012-03-31,31.87,0.0,0.0
2011-12-31,28.42,0.0,0.0
2011-09-30,25.81,0.0,0.0
2011-06-30,26.73,0.0,0.0
2011-03-31,28.09,0.0,0.0
2010-12-31,29.12,0.0,0.0
2010-09-30,23.33,0.0,0.0
2010-06-30,19.68,0.0,0.0
2010-03-31,21.33,0.0,0.0
2009-12-31,17.16,0.0,0.0
