Oncolytics Biotech Price to Free Cash Flow Ratio Historical Data,Oncolytics Biotech Price to Free Cash Flow Ratio Historical Data,Oncolytics Biotech Price to Free Cash Flow Ratio Historical Data,Oncolytics Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.63,,0.0
2024-12-31,0.91,$-0.26,0.0
2024-09-30,0.87,$-0.26,0.0
2024-06-30,0.99,$-0.26,0.0
2024-03-31,1.06,$-0.29,0.0
2023-12-31,1.35,$-0.31,0.0
2023-09-30,2.18,$-0.32,0.0
2023-06-30,2.6,$-0.32,0.0
2023-03-31,1.2,$-0.32,0.0
2022-12-31,1.63,$-0.31,0.0
2022-09-30,1.23,$-0.33,0.0
2022-06-30,1.01,$-0.33,0.0
2022-03-31,1.58,$-0.34,0.0
2021-12-31,1.39,$-0.34,0.0
2021-09-30,2.09,$-0.35,0.0
2021-06-30,2.77,$-0.41,0.0
2021-03-31,3.81,$-0.42,0.0
2020-12-31,2.38,$-0.41,0.0
2020-09-30,1.69,$-0.55,0.0
2020-06-30,1.88,$-0.56,0.0
2020-03-31,1.38,$-0.62,0.0
2019-12-31,4.76,$-0.68,0.0
2019-09-30,0.57,$-0.65,0.0
2019-06-30,1.7,$-0.67,0.0
2019-03-31,1.86,$-0.72,0.0
