Orix Corp Ads Price to Free Cash Flow Ratio Historical Data,Orix Corp Ads Price to Free Cash Flow Ratio Historical Data,Orix Corp Ads Price to Free Cash Flow Ratio Historical Data,Orix Corp Ads Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.65,,85.67
2024-03-31,108.28,$0.25,428.49
2023-12-31,91.76,$0.01,0.0
2023-09-30,92.24,$-0.13,0.0
2023-06-30,88.26,$-0.17,0.0
2023-03-31,79.42,$-1.05,0.0
2022-12-31,76.48,$-1.56,0.0
2022-09-30,67.12,$-1.09,0.0
2022-06-30,78.23,$-0.54,0.0
2022-03-31,92.82,$1.37,67.53
2021-12-31,93.23,$2.57,36.29
2021-09-30,86.58,$2.39,36.16
2021-06-30,76.42,$2.71,28.21
2021-03-31,76.54,$2.59,29.5
2020-12-31,68.27,$2.40,28.45
2020-09-30,55.24,$1.18,46.98
2020-06-30,53.03,$0.83,63.94
2020-03-31,50.88,$0.36,142.43
2019-12-31,69.71,$-0.62,0.0
2019-09-30,62.8,$-0.74,0.0
2019-06-30,61.29,$-2.74,0.0
2019-03-31,58.83,$-3.32,0.0
2018-12-31,56.89,$-3.69,0.0
2018-09-30,64.43,$-2.41,0.0
2018-06-30,62.82,$-2.40,0.0
2017-12-31,66.08,$-2.37,0.0
2017-09-30,63.09,$-1.92,0.0
2017-03-31,57.09,$-2.89,0.0
2016-12-31,58.74,$-2.83,0.0
2016-09-30,55.97,$-2.66,0.0
2016-06-30,47.59,$-2.88,0.0
2016-03-31,53.16,$-3.62,0.0
2015-12-31,51.53,$-2.64,0.0
2015-09-30,47.64,$-1.83,0.0
2015-06-30,53.92,$-1.30,0.0
2015-03-31,50.9,0,0.0
2014-12-31,45.25,$0.19,243.39
2014-09-30,49.93,$0.14,345.28
2014-06-30,60.09,$0.03,2403.48
2014-03-31,50.99,0,0.0
2013-12-31,64.47,$2.36,27.33
2013-09-30,59.2,$1.62,36.53
2013-06-30,49.44,$0.92,53.82
2013-03-31,46.01,$-0.00,0.0
2012-12-31,40.6,$0.29,141.47
2012-09-30,35.92,$-3.80,0.0
2012-06-30,33.37,$0.06,556.16
2012-03-31,34.59,0,0.0
2011-12-31,29.09,$0.03,950.54
2011-09-30,27.46,$3.69,7.44
2011-06-30,34.62,$-0.31,0.0
2011-03-31,33.02,0,0.0
2010-12-31,34.17,$-1.25,0.0
2010-09-30,26.97,$-1.46,0.0
2010-06-30,25.31,$0.21,122.38
2010-03-31,30.98,0,0.0
2009-12-31,23.79,$-1.52,0.0
