ONE Gas Price to Free Cash Flow Ratio Historical Data,ONE Gas Price to Free Cash Flow Ratio Historical Data,ONE Gas Price to Free Cash Flow Ratio Historical Data,ONE Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.15,,0.0
2024-12-31,69.25,$-5.87,0.0
2024-09-30,73.78,$-5.22,0.0
2024-06-30,62.68,$-4.35,0.0
2024-03-31,62.7,$-1.84,0.0
2023-12-31,61.25,$4.89,12.54
2023-09-30,64.94,$3.00,21.65
2023-06-30,72.42,$24.66,2.94
2023-03-31,74.09,$23.50,3.15
2022-12-31,70.24,$17.69,3.97
2022-09-30,64.8,$18.62,3.48
2022-06-30,74.18,$-3.67,0.0
2022-03-31,80.04,$-5.09,0.0
2021-12-31,69.82,$-37.84,0.0
2021-09-30,56.54,$-37.03,0.0
2021-06-30,65.61,$-36.33,0.0
2021-03-31,67.56,$-36.16,0.0
2020-12-31,66.91,$-2.00,0.0
2020-09-30,59.72,$-2.13,0.0
2020-06-30,66.21,$-2.26,0.0
2020-03-31,71.36,$-1.44,0.0
2019-12-31,79.4,$-2.01,0.0
2019-09-30,81.08,$-1.91,0.0
2019-06-30,75.76,$-1.79,0.0
2019-03-31,74.27,$-0.47,0.0
2018-12-31,66.01,$1.38,47.79
2018-09-30,67.85,$0.02,3375.61
2018-06-30,61.26,$-0.05,0.0
2018-03-31,53.78,$-1.08,0.0
2017-12-31,59.26,$-1.94,0.0
2017-09-30,59.24,$-0.46,0.0
2017-06-30,55.84,$-0.48,0.0
2017-03-31,53.74,$-0.76,0.0
2016-12-31,50.52,$-0.35,0.0
2016-09-30,48.56,$0.43,114.07
2016-06-30,52.0,$0.56,93.2
2016-03-31,47.44,$0.79,60.1
2015-12-31,38.72,$2.13,18.15
2015-09-30,34.77,$1.39,24.97
2015-06-30,32.42,$0.95,33.97
2015-03-31,32.7,$0.31,103.9
2014-12-31,30.96,$-0.95,0.0
