Oncternal Therapeutics Price to Free Cash Flow Ratio Historical Data,Oncternal Therapeutics Price to Free Cash Flow Ratio Historical Data,Oncternal Therapeutics Price to Free Cash Flow Ratio Historical Data,Oncternal Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,1.37,,0.0
2024-09-30,1.32,$-9.04,0.0
2024-06-30,7.6,$-8.53,0.0
2024-03-31,9.0,$-9.71,0.0
2023-12-31,10.72,$-10.94,0.0
2023-09-30,6.0,$-12.47,0.0
2023-06-30,6.9,$-14.56,0.0
2023-03-31,15.7,$-14.22,0.0
2022-12-31,20.0,$-13.96,0.0
2022-09-30,17.83,$-12.91,0.0
2022-06-30,22.2,$-11.56,0.0
2022-03-31,27.8,$-11.83,0.0
2021-12-31,45.4,$-10.78,0.0
2021-09-30,83.4,$-11.82,0.0
2021-06-30,95.0,$-12.57,0.0
2021-03-31,166.4,$-14.41,0.0
2020-12-31,98.0,$-17.23,0.0
2020-09-30,34.0,$-16.74,0.0
2020-06-30,56.8,$-22.83,0.0
2020-03-31,58.6,$-37.68,0.0
2019-12-31,79.0,$-45.22,0.0
2019-06-30,133.2,$-40.92,0.0
2019-03-31,168.0,$9.72,17.28
2018-12-31,109.2,$-41.31,0.0
2018-09-30,219.8,$-198.93,0.0
2018-06-30,2143.4,$-98.61,0.0
2018-03-31,2485.0,$-168.71,0.0
2017-12-31,1779.4,$-142.82,0.0
2019-09-30,100.0,$-17.86,0.0
2017-09-30,1181.6,$-165.88,0.0
2017-06-30,740.6,$-199.39,0.0
2017-03-31,686.0,$-56.25,0.0
2016-12-31,739.2,$-66.51,0.0
2016-09-30,1096.2,$-55.64,0.0
2016-06-30,770.0,$-44.74,0.0
2015-12-31,980.0,$-189.80,0.0
2015-09-30,1064.0,$-189.76,0.0
2015-06-30,2058.0,$-256.67,0.0
2015-03-31,956.9,$-368.65,0.0
2014-12-31,1022.0,$-492.09,0.0
2014-09-30,1032.5,$-576.18,0.0
2014-06-30,1932.0,$-716.43,0.0
2014-03-31,2142.0,$-804.69,0.0
2013-12-31,2310.0,$-945.06,0.0
2013-09-30,2835.0,$-608.93,0.0
2013-06-30,9240.0,$-558.42,0.0
2013-03-31,5810.0,$-485.37,0.0
2012-12-31,5880.0,$-408.98,0.0
2012-09-30,6412.0,$-795.80,0.0
2012-06-30,4928.0,$-702.28,0.0
2012-03-31,5390.0,$-722.81,0.0
2011-12-31,4704.0,$-738.75,0.0
2011-09-30,4690.0,$-352.57,0.0
2011-06-30,6706.0,$-585.10,0.0
2011-03-31,3598.0,$-781.92,0.0
2010-12-31,3710.0,$-928.63,0.0
2010-09-30,4816.0,"$-1,373.90",0.0
2010-06-30,4270.0,"$-1,502.60",0.0
2010-03-31,4690.0,"$-1,595.65",0.0
2009-12-31,5880.0,"$-1,790.62",0.0
2009-09-30,17920.0,"$-1,587.74",0.0
