Mogo Inc Price to Free Cash Flow Ratio Historical Data,Mogo Inc Price to Free Cash Flow Ratio Historical Data,Mogo Inc Price to Free Cash Flow Ratio Historical Data,Mogo Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.96,,0.0
2024-09-30,1.19,$-0.12,0.0
2024-06-30,1.47,$-0.30,0.0
2024-03-31,2.0,$-0.37,0.0
2023-12-31,1.84,$-0.28,0.0
2023-09-30,1.57,$-0.25,0.0
2023-06-30,0.68,$-0.28,0.0
2023-03-31,0.66,$-0.50,0.0
2022-12-31,0.53,$-0.83,0.0
2022-09-30,0.92,$-1.19,0.0
2022-06-30,0.86,$-1.31,0.0
2022-03-31,2.91,$-1.30,0.0
2021-12-31,3.42,$-1.14,0.0
2021-09-30,4.32,$-0.60,0.0
2021-06-30,7.85,$0.05,150.1
2021-03-31,8.5,$0.83,10.19
2020-12-31,3.77,$3.40,1.11
2020-09-30,1.44,$3.16,0.46
2020-06-30,0.94,$2.47,0.38
2020-03-31,1.13,$1.40,0.81
2019-12-31,2.57,$-1.40,0.0
2019-09-30,3.88,$-2.39,0.0
2019-06-30,3.4,$-2.84,0.0
2019-03-31,2.5,$-3.76,0.0
