Skeena Resources Price to Free Cash Flow Ratio Historical Data,Skeena Resources Price to Free Cash Flow Ratio Historical Data,Skeena Resources Price to Free Cash Flow Ratio Historical Data,Skeena Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.8,,0.0
2024-09-30,8.46,$-0.58,0.0
2024-06-30,5.37,$-0.59,0.0
2024-03-31,4.62,$-0.55,0.0
2023-12-31,4.88,$-0.51,0.0
2023-09-30,4.6,$-0.89,0.0
2023-06-30,4.83,$-0.87,0.0
2023-03-31,6.11,$-1.02,0.0
2022-12-31,5.32,$-1.04,0.0
2022-09-30,4.68,$-2.54,0.0
