Brunswick Price to Free Cash Flow Ratio Historical Data,Brunswick Price to Free Cash Flow Ratio Historical Data,Brunswick Price to Free Cash Flow Ratio Historical Data,Brunswick Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.36,,13.62
2024-12-31,64.68,$4.14,15.63
2024-09-30,83.37,$3.20,26.06
2024-06-30,71.99,$4.75,15.16
2024-03-31,95.01,$5.00,18.99
2023-12-31,94.78,$6.51,14.55
2023-09-30,77.0,$5.80,13.28
2023-06-30,84.03,$4.59,18.3
2023-03-31,79.12,$4.40,17.96
2022-12-31,69.23,$2.78,24.9
2022-09-30,62.55,$0.54,115.49
2022-06-30,62.2,$0.39,158.87
2022-03-31,76.6,$1.28,59.67
2021-12-31,94.66,$4.01,23.63
2021-09-30,89.23,$4.92,18.13
2021-06-30,93.0,$9.17,10.14
2021-03-31,88.75,$9.05,9.8
2020-12-31,70.73,$7.76,9.11
2020-09-30,54.46,$8.46,6.43
2020-06-30,58.96,$3.99,14.77
2020-03-31,32.43,$2.65,12.26
2019-12-31,54.78,$2.44,22.45
2019-09-30,47.41,$0.93,51.08
2019-06-30,41.55,$0.48,87.16
2019-03-31,45.36,$1.07,42.29
2018-12-31,41.7,$1.78,23.4
2018-09-30,59.93,$2.71,22.1
2018-06-30,57.49,$3.12,18.43
2018-03-31,52.79,$2.87,18.39
2017-12-31,48.93,$2.55,19.15
2017-09-30,49.41,$2.13,23.25
2017-06-30,55.2,$2.03,27.23
2017-03-31,53.69,$2.58,20.83
2016-12-31,47.72,$2.64,18.04
2016-09-30,42.53,$2.67,15.96
2016-06-30,39.39,$3.34,11.79
2016-03-31,41.56,$2.63,15.78
2015-12-31,43.6,$2.32,18.79
2015-09-30,41.23,$2.18,18.93
2015-06-30,43.67,$1.43,30.45
2015-03-31,44.08,$0.98,45.02
2014-12-31,43.81,$1.36,32.25
2014-09-30,35.92,$0.71,50.82
2014-06-30,35.81,$0.71,50.32
2014-03-31,38.41,$0.65,58.74
2013-12-31,38.97,$0.69,56.49
2013-09-30,33.69,$0.79,42.48
2013-06-30,26.97,$0.87,30.86
2013-03-31,28.89,$0.40,72.25
2012-12-31,24.56,$0.88,27.91
2012-09-30,19.06,$0.50,38.37
2012-06-30,18.72,$-0.06,0.0
2012-03-31,21.69,$0.44,49.02
2011-12-31,15.21,$0.35,43.16
2011-09-30,11.79,$0.40,29.43
2011-06-30,17.13,$1.17,14.66
2011-03-31,21.36,$0.63,34.07
2010-12-31,15.74,$1.79,8.81
2010-09-30,12.74,$1.70,7.51
2010-06-30,10.41,$1.84,5.66
2010-03-31,13.37,$0.92,14.51
2009-12-31,10.64,$1.19,8.94
