First Busey Price to Free Cash Flow Ratio Historical Data,First Busey Price to Free Cash Flow Ratio Historical Data,First Busey Price to Free Cash Flow Ratio Historical Data,First Busey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.01,,7.28
2024-12-31,23.57,$3.03,7.79
2024-09-30,25.78,$2.90,8.89
2024-06-30,23.78,$2.59,9.19
2024-03-31,23.36,$2.86,8.17
2023-12-31,23.86,$2.99,7.98
2023-09-30,18.25,$3.05,5.99
2023-06-30,18.89,$3.13,6.04
2023-03-31,18.87,$2.95,6.4
2022-12-31,22.71,$2.95,7.71
2022-09-30,19.99,$3.19,6.26
2022-06-30,20.59,$2.78,7.4
2022-03-31,22.62,$2.90,7.8
2021-12-31,24.01,$2.93,8.19
2021-09-30,21.61,$2.95,7.32
2021-06-30,21.42,$3.43,6.25
2021-03-31,22.07,$3.40,6.49
2020-12-31,18.36,$2.91,6.3
2020-09-30,13.38,$2.43,5.52
2020-06-30,15.51,$1.77,8.78
2020-03-31,14.04,$1.02,13.71
2019-12-31,22.38,$1.37,16.34
2019-09-30,20.4,$1.86,10.95
2019-06-30,21.14,$2.35,8.99
2019-03-31,19.38,$2.73,7.1
2018-12-31,19.33,$3.89,4.97
2018-09-30,24.29,$4.67,5.2
2018-06-30,24.66,$4.33,5.7
2018-03-31,22.96,$2.63,8.73
2017-12-31,22.98,$5.58,4.12
2017-09-30,23.94,$3.88,6.17
2017-06-30,22.24,$4.32,5.15
2017-03-31,22.16,$3.79,5.85
2016-12-31,23.07,$-0.77,0.0
2016-09-30,16.81,$-0.21,0.0
2016-06-30,15.79,$-0.25,0.0
2016-03-31,15.0,$2.08,7.2
2015-12-31,14.98,$1.98,7.55
2015-09-30,14.3,$1.95,7.32
2015-06-30,14.08,$2.00,7.06
2015-03-31,14.23,$1.76,8.1
2014-12-31,13.73,$2.21,6.2
2014-09-30,11.65,$2.20,5.29
2014-06-30,12.04,$2.77,4.35
2014-03-31,11.92,$3.15,3.79
2013-12-31,11.84,$3.39,3.49
2013-09-30,10.55,$2.82,3.74
2013-06-30,9.04,$2.22,4.07
2013-03-31,9.1,$2.11,4.32
2012-12-31,9.26,$1.40,6.59
2012-09-30,9.48,$2.81,3.38
2012-06-30,9.28,$2.21,4.21
2012-03-31,9.41,$2.23,4.23
2011-12-31,9.47,$4.02,2.36
2011-09-30,8.18,$4.72,1.73
2011-06-30,9.87,$4.83,2.04
2011-03-31,9.4,$4.77,1.97
2010-12-31,8.63,$3.88,2.22
2010-09-30,8.28,$1.86,4.46
2010-06-30,8.17,$4.13,1.98
2010-03-31,7.91,$7.43,1.07
2009-12-31,6.89,$3.43,2.01
