Aris Mining Price to Free Cash Flow Ratio Historical Data,Aris Mining Price to Free Cash Flow Ratio Historical Data,Aris Mining Price to Free Cash Flow Ratio Historical Data,Aris Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.56,,0.0
2024-12-31,3.5,$-0.25,0.0
2024-09-30,4.6,$-0.60,0.0
2024-06-30,3.76,$-0.49,0.0
