Ascent Solar Technologies Price to Free Cash Flow Ratio Historical Data,Ascent Solar Technologies Price to Free Cash Flow Ratio Historical Data,Ascent Solar Technologies Price to Free Cash Flow Ratio Historical Data,Ascent Solar Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,0.0
2024-09-30,2.56,$922.41,0.0
2024-06-30,10.44,"$3,136.35",0.0
2024-03-31,39.3,"$-1,303.93",0.0
2023-12-31,87.0,"$-1,306.80",0.0
2023-09-30,179.0,"$-2,258.17",0.0
2023-06-30,2480.0,"$-4,524.19",0.0
2023-03-31,7400.0,$-99.63,0.0
2022-12-31,32600.0,$-71.72,0.0
2022-09-30,91000.0,$-49.17,0.0
2022-06-30,1200.0,$-1.49,0.0
2022-03-31,1200.0,$-2.56,0.0
2021-12-31,1200.0,$-2.49,0.0
2021-09-30,1200.0,$-2.39,0.0
2021-06-30,1200.0,$-1.89,0.0
2021-03-31,1200.0,$-0.77,0.0
2020-12-31,1200.0,$-0.71,0.0
2020-09-30,1200.0,0,0.0
2020-06-30,1200.0,$0.00,0.0
2020-03-31,1200.0,$-0.00,0.0
2019-12-31,1200.0,$-0.00,0.0
2019-09-30,1200.0,$-0.04,0.0
2019-06-30,1200.0,$-0.04,0.0
2019-03-31,1200.0,$-0.04,0.0
2018-12-31,1200.0,$-0.17,0.0
2018-09-30,1200.0,$-0.94,0.0
2018-06-30,1200.0,$-0.94,0.0
2018-03-31,1200.0,$-2.25,0.0
2017-12-31,1200.0,$-2.12,0.0
2017-09-30,1200.0,$-1.32,0.0
2017-06-30,1200.0,$-0.85,0.0
2017-03-31,1200.0,$-0.15,0.0
2016-12-31,1200.0,$-0.18,0.0
2016-09-30,1200.0,$5.61,213.81
2016-06-30,1200.0,$7.00,171.45
2016-03-31,1200.0,$-0.20,0.0
2015-12-31,2900.0,$-0.41,0.0
2015-09-30,3626.0,$-7.04,0.0
2015-06-30,11000.0,$-9.19,0.0
2015-03-31,22400.0,$-1.92,0.0
2014-12-31,21400.0,$-2.66,0.0
2014-09-30,44200.0,$-2.79,0.0
2014-06-30,84000.0,$-5.16,0.0
2014-03-31,121980.0,$-4.70,0.0
2013-12-31,141000.0,$-3.83,0.0
2013-09-30,176000.0,$-2.97,0.0
2013-06-30,156000.0,$-0.45,0.0
2013-03-31,112000.0,$-0.49,0.0
2012-12-31,124000.0,$-0.55,0.0
2012-09-30,208000.0,$-0.55,0.0
2012-06-30,158000.0,$-0.64,0.0
2012-03-31,126000.0,$-0.69,0.0
2011-12-31,78000.0,$-0.85,0.0
2011-09-30,150000.0,$-1.24,0.0
2011-06-30,190000.0,$-1.05,0.0
2011-03-31,574000.0,$-1.27,0.0
2010-12-31,672000.0,$-1.18,0.0
2010-09-30,632000.0,$-0.85,0.0
2010-06-30,546000.0,$-1.05,0.0
2010-03-31,770000.0,$-0.88,0.0
2009-12-31,1060000.0,$-0.95,0.0
