SoundThinking Price to Free Cash Flow Ratio Historical Data,SoundThinking Price to Free Cash Flow Ratio Historical Data,SoundThinking Price to Free Cash Flow Ratio Historical Data,SoundThinking Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.54,,13.25
2024-09-30,11.59,$1.40,8.29
2024-06-30,12.18,$1.07,11.34
2024-03-31,15.88,$0.92,17.25
2023-12-31,25.54,$0.47,53.8
2023-09-30,17.9,$0.52,34.28
2023-06-30,21.86,$0.35,62.33
2023-03-31,39.32,$-0.07,0.0
2022-12-31,33.83,$0.10,328.45
2022-09-30,28.76,$0.28,103.98
2022-06-30,26.91,$-0.37,0.0
2022-03-31,27.72,$0.35,79.31
2021-12-31,29.52,$0.17,173.44
2021-09-30,36.37,$0.10,351.74
2021-06-30,48.77,$0.50,98.43
2021-03-31,35.07,$-0.01,0.0
2020-12-31,37.7,$0.61,61.85
2020-09-30,31.04,$0.61,51.29
2020-06-30,25.2,$0.55,45.64
2020-03-31,27.48,$0.41,66.31
2019-12-31,25.5,$0.75,34.06
2019-09-30,23.03,$0.15,150.52
2019-06-30,44.2,$0.13,348.31
2019-03-31,38.6,$0.32,122.54
2018-12-31,31.18,$-0.93,0.0
2018-09-30,61.29,$-0.64,0.0
2018-06-30,37.93,$-0.62,0.0
2018-03-31,26.5,$-1.01,0.0
