Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,336.03,,40.76
2024-12-31,339.93,$8.24,41.23
2024-09-30,380.95,$8.15,46.76
2024-06-30,297.27,$9.32,31.88
2024-03-31,345.19,$9.60,35.97
2023-12-31,309.29,$10.47,29.55
2023-09-30,252.35,$9.61,26.26
2023-06-30,262.12,$6.97,37.58
2023-03-31,221.32,$4.79,46.18
2022-12-31,233.05,$5.00,46.62
2022-09-30,200.55,$3.70,54.18
2022-06-30,218.79,$4.70,46.58
2022-03-31,243.34,$6.31,38.54
2021-12-31,342.54,$7.07,48.47
2021-09-30,271.63,$9.58,28.36
2021-06-30,264.09,$11.98,22.05
2021-03-31,237.99,$12.14,19.6
2020-12-31,236.41,$11.48,20.6
2020-09-30,223.72,$10.71,20.89
2020-06-30,185.17,$8.35,22.18
2020-03-31,146.91,$7.26,20.24
2019-12-31,186.07,$7.13,26.09
2019-09-30,175.0,$6.65,26.32
2019-06-30,145.86,$6.60,22.09
2019-03-31,136.72,$5.75,23.76
2018-12-31,124.58,$6.07,20.51
2018-09-30,143.84,$6.52,22.05
2018-06-30,128.53,$5.83,22.04
2018-03-31,123.38,$5.23,23.61
2017-12-31,128.74,$6.00,21.46
2017-09-30,112.17,$5.14,21.81
2017-06-30,109.67,$4.40,24.92
2017-03-31,96.68,$5.10,18.95
2016-12-31,83.53,$3.91,21.37
2016-09-30,85.72,$4.46,19.22
2016-06-30,90.73,$4.77,19.03
2016-03-31,87.69,$4.24,20.7
2015-12-31,79.72,$4.32,18.47
2015-09-30,68.24,$3.07,22.2
2015-06-30,84.03,$3.03,27.71
2015-03-31,86.73,$3.03,28.61
2014-12-31,80.0,$2.98,26.85
2014-09-30,66.45,$3.36,19.75
2014-06-30,62.62,$3.13,20.03
2014-03-31,59.5,$2.99,19.88
2013-12-31,55.23,$2.98,18.56
2013-09-30,54.69,$3.03,18.05
2013-06-30,52.85,$2.67,19.81
2013-03-31,50.42,$2.57,19.59
2012-12-31,45.77,$2.37,19.27
2012-09-30,44.2,$2.25,19.65
2012-06-30,39.17,$2.19,17.92
2012-03-31,32.06,$1.83,17.53
2011-12-31,26.23,$1.88,13.98
2011-09-30,21.75,$1.71,12.69
2011-06-30,24.42,$1.37,17.78
2011-03-31,24.35,$1.70,14.36
2010-12-31,24.17,$1.81,13.38
2010-09-30,21.58,$1.89,11.4
2010-06-30,19.77,$2.18,9.07
2010-03-31,19.25,$2.20,8.74
2009-12-31,17.44,$2.25,7.74
