DocGo Price to Free Cash Flow Ratio Historical Data,DocGo Price to Free Cash Flow Ratio Historical Data,DocGo Price to Free Cash Flow Ratio Historical Data,DocGo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.76,,4.52
2024-12-31,4.24,$0.61,6.95
2024-09-30,3.32,$0.44,7.62
2024-06-30,3.09,$-0.29,0.0
2024-03-31,4.04,$-0.54,0.0
2023-12-31,5.59,$-0.67,0.0
2023-09-30,5.33,$-0.68,0.0
2023-06-30,9.37,$-0.16,0.0
2023-03-31,8.65,$-0.15,0.0
2022-12-31,7.07,$0.25,28.36
2022-09-30,9.92,$0.21,46.7
2022-06-30,7.14,$41.30,0.17
2022-03-31,9.25,$0.12,78.13
2021-12-31,9.35,$-0.07,0.0
2021-09-30,9.96,$0.05,206.64
