Unum Group Price to Free Cash Flow Ratio Historical Data,Unum Group Price to Free Cash Flow Ratio Historical Data,Unum Group Price to Free Cash Flow Ratio Historical Data,Unum Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,81.04,,10.98
2024-12-31,73.03,$7.38,9.9
2024-09-30,59.04,$6.49,9.09
2024-06-30,50.37,$6.40,7.87
2024-03-31,52.51,$6.19,8.48
2023-12-31,43.91,$5.40,8.12
2023-09-30,47.41,$5.51,8.61
2023-06-30,45.63,$4.92,9.28
2023-03-31,37.54,$5.63,6.67
2022-12-31,38.63,$6.51,5.93
2022-09-30,36.26,$7.13,5.09
2022-06-30,31.47,$7.82,4.02
2022-03-31,28.87,$8.83,3.27
2021-12-31,22.25,$6.23,3.57
2021-09-30,22.44,$-0.04,0.0
2021-06-30,25.16,$-0.02,0.0
2021-03-31,24.42,$-0.27,0.0
2020-12-31,19.89,$1.72,11.57
2020-09-30,14.35,$7.20,1.99
2020-06-30,13.92,$6.58,2.11
2020-03-31,12.36,$5.55,2.23
2019-12-31,23.77,$6.94,3.43
2019-09-30,23.99,$7.34,3.27
2019-06-30,26.85,$7.61,3.53
2019-03-31,26.88,$7.39,3.64
2018-12-31,23.17,$6.33,3.66
2018-09-30,30.81,$5.58,5.52
2018-06-30,28.98,$4.90,5.91
2018-03-31,37.12,$4.65,7.99
2017-12-31,42.62,$4.66,9.15
2017-09-30,39.53,$5.02,7.88
2017-06-30,35.88,$4.84,7.42
2017-03-31,35.93,$4.47,8.04
2016-12-31,33.51,$4.39,7.63
2016-09-30,26.79,$4.02,6.67
2016-06-30,23.97,$4.30,5.58
2016-03-31,23.19,$4.50,5.16
2015-12-31,24.8,$4.81,5.16
2015-09-30,23.77,$4.72,5.04
2015-06-30,26.36,$4.44,5.94
2015-03-31,24.75,$4.56,5.43
2014-12-31,25.46,$4.32,5.89
2014-09-30,24.97,$4.16,6.0
2014-06-30,25.13,$4.39,5.73
2014-03-31,25.42,$3.72,6.83
2013-12-31,25.14,$3.48,7.22
2013-09-30,21.71,$3.78,5.74
2013-06-30,20.85,$3.81,5.47
2013-03-31,19.96,$4.37,4.57
2012-12-31,14.63,$4.52,3.24
2012-09-30,13.42,$4.40,3.05
2012-06-30,13.27,$4.00,3.32
2012-03-31,16.9,$3.78,4.47
2011-12-31,14.48,$3.61,4.01
2011-09-30,14.34,$3.48,4.12
2011-06-30,17.36,$3.65,4.76
2011-03-31,17.82,$3.77,4.73
2010-12-31,16.39,$3.66,4.48
2010-09-30,14.92,$3.97,3.75
2010-06-30,14.56,$3.90,3.73
2010-03-31,16.57,$3.69,4.49
2009-12-31,13.0,$3.72,3.49
