VSE Price to Free Cash Flow Ratio Historical Data,VSE Price to Free Cash Flow Ratio Historical Data,VSE Price to Free Cash Flow Ratio Historical Data,VSE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.61,,0.0
2024-12-31,95.1,$-2.88,0.0
2024-09-30,82.66,$-4.45,0.0
2024-06-30,88.1,$-3.63,0.0
2024-03-31,79.74,$-4.31,0.0
2023-12-31,64.29,$-2.85,0.0
2023-09-30,50.1,$-3.37,0.0
2023-06-30,54.21,$-3.97,0.0
2023-03-31,44.43,$-2.71,0.0
2022-12-31,46.3,$-0.25,0.0
2022-09-30,34.89,$-0.16,0.0
2022-06-30,36.92,$0.65,57.09
2022-03-31,45.18,$-0.58,0.0
2021-12-31,59.62,$-2.22,0.0
2021-09-30,47.05,$-3.03,0.0
2021-06-30,48.27,$-3.67,0.0
2021-03-31,38.44,$-0.82,0.0
2020-12-31,37.37,$3.10,12.05
2020-09-30,29.66,$3.04,9.76
2020-06-30,30.29,$3.08,9.83
2020-03-31,15.75,$1.48,10.66
2019-12-31,36.45,$0.76,48.11
2019-09-30,32.59,$2.25,14.51
2019-06-30,27.33,$1.75,15.64
2019-03-31,30.01,$0.37,81.1
2018-12-31,28.42,$1.45,19.59
2018-09-30,31.4,$0.97,32.49
2018-06-30,45.2,$2.19,20.66
2018-03-31,48.86,$5.46,8.94
2017-12-31,45.69,$4.36,10.47
2017-09-30,53.57,$5.12,10.46
2017-06-30,42.31,$4.43,9.54
2017-03-31,38.32,$2.50,15.35
2016-12-31,36.42,$3.77,9.67
2016-09-30,31.81,$3.66,8.68
2016-06-30,31.23,$3.66,8.54
2016-03-31,31.69,$4.19,7.56
2015-12-31,28.97,$2.55,11.36
2015-09-30,18.64,$1.88,9.9
2015-06-30,24.83,$1.97,12.62
2015-03-31,37.93,$2.75,13.79
2014-12-31,30.49,$4.31,7.07
2014-09-30,22.64,$4.92,4.6
2014-06-30,32.43,$5.10,6.36
2014-03-31,24.27,$4.82,5.03
2013-12-31,22.06,$4.88,4.52
2013-09-30,21.54,$4.31,5.0
2013-06-30,18.8,$4.68,4.02
2013-03-31,11.41,$5.12,2.23
2012-12-31,11.15,$3.67,3.04
2012-09-30,11.11,$2.88,3.86
2012-06-30,10.75,$3.76,2.86
2012-03-31,11.17,$2.60,4.3
2011-12-31,10.91,$2.66,4.1
2011-09-30,11.59,$3.20,3.63
2011-06-30,11.12,$1.04,10.67
2011-03-31,13.24,$1.64,8.07
2010-12-31,14.68,$1.26,11.65
2010-09-30,15.66,$0.94,16.64
2010-06-30,14.1,$1.12,12.55
2010-03-31,18.22,$2.38,7.66
2009-12-31,19.94,$1.53,13.03
