Amphenol Price to Free Cash Flow Ratio Historical Data,Amphenol Price to Free Cash Flow Ratio Historical Data,Amphenol Price to Free Cash Flow Ratio Historical Data,Amphenol Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,66.36,,38.87
2024-12-31,69.45,$1.71,40.68
2024-09-30,65.16,$1.79,36.4
2024-06-30,67.2,$1.85,36.37
2024-03-31,57.44,$1.79,32.06
2023-12-31,49.26,$1.74,28.31
2023-09-30,41.64,$1.63,25.5
2023-06-30,42.02,$1.57,26.77
2023-03-31,40.32,$1.58,25.54
2022-12-31,37.46,$1.45,25.9
2022-09-30,32.86,$1.26,25.99
2022-06-30,31.5,$1.11,28.38
2022-03-31,36.75,$0.97,37.88
2021-12-31,42.55,$0.95,44.98
2021-09-30,35.54,$0.94,37.78
2021-06-30,33.14,$0.99,33.56
2021-03-31,31.88,$1.01,31.57
2020-12-31,31.53,$1.08,29.21
2020-09-30,26.05,$1.06,24.61
2020-06-30,23.0,$1.08,21.32
2020-03-31,17.45,$1.03,16.95
2019-12-31,25.82,$0.99,26.18
2019-09-30,22.96,$0.93,24.82
2019-06-30,22.77,$0.86,26.55
2019-03-31,22.36,$0.81,27.72
2018-12-31,19.14,$0.65,29.65
2018-09-30,22.15,$0.71,31.34
2018-06-30,20.48,$0.61,33.73
2018-03-31,20.19,$0.64,31.62
2017-12-31,20.54,$0.73,28.21
2017-09-30,19.76,$0.68,28.96
2017-06-30,17.19,$0.76,22.59
2017-03-31,16.54,$0.73,22.51
2016-12-31,15.58,$0.71,21.98
2016-09-30,15.02,$0.69,21.61
2016-06-30,13.23,$0.70,19.01
2016-03-31,13.31,$0.69,19.24
2015-12-31,12.0,$0.68,17.52
2015-09-30,11.67,$0.64,18.17
2015-06-30,13.24,$0.58,22.83
2015-03-31,13.43,$0.53,25.36
2014-12-31,12.24,$0.53,23.16
2014-09-30,11.33,$0.47,24.06
2014-06-30,10.91,$0.46,23.56
2014-03-31,10.35,$0.47,21.91
2013-12-31,10.05,$0.47,21.24
2013-09-30,8.7,$0.48,17.98
2013-06-30,8.74,$0.47,18.56
2013-03-31,8.36,$0.43,19.23
2012-12-31,7.24,$0.42,17.25
2012-09-30,6.57,$0.39,17.01
2012-06-30,6.12,$0.40,15.3
2012-03-31,6.65,$0.39,17.23
2011-12-31,5.04,$0.34,14.64
2011-09-30,4.53,$0.33,13.6
2011-06-30,5.99,$0.28,21.48
2011-03-31,6.03,$0.27,21.97
2010-12-31,5.85,$0.22,26.03
2010-09-30,5.43,$0.23,23.12
2010-06-30,4.35,$0.26,16.83
2010-03-31,4.67,$0.29,15.89
2009-12-31,5.12,$0.38,13.62
