Eightco Holdings Price to Free Cash Flow Ratio Historical Data,Eightco Holdings Price to Free Cash Flow Ratio Historical Data,Eightco Holdings Price to Free Cash Flow Ratio Historical Data,Eightco Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.08,,0.0
2024-09-30,2.39,$-2.07,0.0
2024-06-30,0.46,$-0.30,0.0
2024-03-31,0.79,$7.81,0.1
2023-12-31,0.51,$-10.96,0.0
2023-09-30,0.56,$-275.74,0.0
2023-06-30,1.41,$-211.80,0.0
2023-03-31,0.08,$-288.07,0.0
