LightInTheBox Holding Price to Free Cash Flow Ratio Historical Data,LightInTheBox Holding Price to Free Cash Flow Ratio Historical Data,LightInTheBox Holding Price to Free Cash Flow Ratio Historical Data,LightInTheBox Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.02,,0.0
2024-09-30,2.89,$-1.16,0.0
2024-06-30,5.43,$-1.16,0.0
2024-03-31,4.9,$-1.16,0.0
2023-12-31,6.42,$-1.16,0.0
2023-09-30,7.14,$1.86,3.83
2023-06-30,7.08,$1.86,3.8
2023-03-31,9.66,$1.86,5.18
2022-12-31,7.38,$1.86,3.96
2022-09-30,6.42,$-0.14,0.0
2022-06-30,5.76,$-0.14,0.0
2022-03-31,6.3,$-0.14,0.0
2021-12-31,6.06,$-0.14,0.0
2021-09-30,8.28,$1.47,5.63
2021-06-30,11.88,$1.47,8.08
2021-03-31,16.44,$1.47,11.17
2020-12-31,15.24,$1.47,10.36
2020-09-30,11.58,$0.06,179.53
2020-06-30,5.27,$0.06,81.67
2020-03-31,4.21,$0.06,65.25
2019-12-31,6.3,$0.06,97.67
2019-09-30,7.2,$-2.70,0.0
2019-06-30,8.88,$-0.46,0.0
2019-03-31,8.1,$-1.57,0.0
2018-12-31,7.32,$-2.70,0.0
2018-09-30,4.98,$-1.34,0.0
2018-06-30,12.84,$-2.91,0.0
2018-03-31,13.39,$-1.97,0.0
2017-12-31,13.8,$-1.34,0.0
2017-09-30,14.52,$-1.48,0.0
2017-06-30,17.4,$-1.22,0.0
2017-03-31,16.86,$-1.38,0.0
2016-12-31,17.82,$-1.48,0.0
2016-09-30,17.1,$-4.92,0.0
2016-06-30,20.4,$-3.65,0.0
2016-03-31,14.4,$-4.24,0.0
2015-12-31,17.76,$-4.92,0.0
2015-09-30,16.68,$-1.14,0.0
2015-06-30,27.6,$-3.35,0.0
2015-03-31,30.24,$-1.91,0.0
2014-12-31,37.74,$-1.14,0.0
2014-09-30,37.5,$1.54,24.38
2014-06-30,38.16,$1.54,24.81
2014-03-31,40.2,$1.04,38.83
