T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,257.03,,22.42
2024-12-31,220.73,$11.47,19.25
2024-09-30,205.63,$11.27,18.25
2024-06-30,174.98,$10.17,17.2
2024-03-31,161.51,$8.51,18.99
2023-12-31,158.02,$7.30,21.66
2023-09-30,137.44,$5.44,25.29
2023-06-30,136.31,$3.55,38.4
2023-03-31,142.14,$2.73,52.12
2022-12-31,137.39,$2.24,61.36
2022-09-30,131.67,$1.53,86.0
2022-06-30,132.03,$1.36,97.17
2022-03-31,125.96,$1.26,100.28
2021-12-31,113.82,$1.27,89.76
2021-09-30,125.38,$0.79,159.05
2021-06-30,142.13,$0.02,6768.05
2021-03-31,122.95,$-1.53,0.0
2020-12-31,132.34,$-2.07,0.0
2020-09-30,112.23,$-1.21,0.0
2020-06-30,102.21,$-0.60,0.0
2020-03-31,82.34,$0.97,84.69
2019-12-31,76.96,$0.50,153.45
2019-09-30,77.3,$-0.20,0.0
2019-06-30,72.76,$-0.99,0.0
2019-03-31,67.81,$-1.85,0.0
2018-12-31,62.42,$-1.91,0.0
2018-09-30,68.87,$-1.72,0.0
2018-06-30,58.64,$-1.41,0.0
2018-03-31,59.9,$-1.25,0.0
2017-12-31,62.33,$-1.61,0.0
2017-09-30,60.51,$-4.69,0.0
2017-06-30,59.49,$-3.77,0.0
2017-03-31,63.39,$-3.01,0.0
2016-12-31,56.44,$-2.31,0.0
2016-09-30,45.85,$1.80,25.41
2016-06-30,42.46,$1.61,26.42
2016-03-31,37.59,$1.09,34.55
2015-12-31,38.39,$0.84,45.77
2015-09-30,39.07,$-0.06,0.0
2015-06-30,38.05,$-0.65,0.0
2015-03-31,31.1,$-0.59,0.0
2014-12-31,26.44,$-0.21,0.0
2014-09-30,28.33,$-0.16,0.0
2014-06-30,32.99,$-0.28,0.0
2014-03-31,32.41,$-0.63,0.0
2013-12-31,33.01,$-0.71,0.0
2013-09-30,25.49,$-0.26,0.0
2013-06-30,24.35,$0.10,246.18
2013-03-31,14.36,$1.65,8.72
2012-12-31,13.09,$1.88,6.96
2012-09-30,15.42,$14.17,1.09
2012-06-30,7.97,$13.89,0.57
2012-03-31,11.88,$13.04,0.91
2011-12-31,11.43,$12.80,0.89
2011-09-30,11.47,$0.18,64.41
2011-06-30,22.67,$1.37,16.52
2011-03-31,21.39,$0.53,40.37
2010-12-31,16.63,$1.35,12.28
2010-09-30,13.78,$0.57,24.2
2010-06-30,10.79,$0.12,92.11
2010-03-31,9.32,$0.68,13.7
2009-12-31,10.05,$0.22,44.84
