Recon Technology Price to Free Cash Flow Ratio Historical Data,Recon Technology Price to Free Cash Flow Ratio Historical Data,Recon Technology Price to Free Cash Flow Ratio Historical Data,Recon Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.64,,0.0
2018-06-30,6.9,$-26.70,0.0
2018-03-31,5.9,$-7.53,0.0
2017-12-31,6.5,$-14.72,0.0
2017-09-30,5.25,$9.44,0.56
2017-03-31,6.4,$12.85,0.5
2016-09-30,5.55,$-0.68,0.0
2016-06-30,5.65,0,0.0
2016-03-31,6.7,0,0.0
2015-12-31,6.9,0,0.0
2015-09-30,4.3,0,0.0
2015-06-30,7.5,0,0.0
2015-03-31,9.0,0,0.0
2014-12-31,9.85,0,0.0
2014-09-30,23.85,0,0.0
2014-06-30,20.7,0,0.0
2014-03-31,23.3,$-60.82,0.0
2013-12-31,15.4,$-17.31,0.0
2013-09-30,11.07,$0.68,16.2
2013-06-30,9.4,$0.00,0.0
2013-03-31,9.05,$-13.05,0.0
2012-12-31,7.0,$-48.67,0.0
2012-09-30,8.05,$-74.55,0.0
2012-06-30,9.2,$-73.87,0.0
2012-03-31,10.89,$-16.02,0.0
2011-12-31,1.51,$2.65,0.57
2011-09-30,4.25,$0.09,46.65
2011-06-30,11.95,0,0.0
2011-03-31,19.05,$-32.40,0.0
2010-12-31,23.25,$-140.53,0.0
2010-09-30,27.0,$-187.86,0.0
2010-06-30,24.25,$-185.95,0.0
