Lipocine Price to Free Cash Flow Ratio Historical Data,Lipocine Price to Free Cash Flow Ratio Historical Data,Lipocine Price to Free Cash Flow Ratio Historical Data,Lipocine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.5,,0.0
2024-12-31,4.88,$-0.24,0.0
2024-09-30,4.49,$-0.96,0.0
2024-06-30,8.24,$-0.89,0.0
2024-03-31,5.2,$-1.05,0.0
2023-12-31,2.79,$-2.25,0.0
2023-09-30,2.98,$-2.23,0.0
2023-06-30,5.04,$-2.36,0.0
2023-03-31,5.41,$-2.30,0.0
2022-12-31,6.76,$-2.30,0.0
2022-09-30,7.65,$-0.23,0.0
2022-06-30,13.62,$-0.95,0.0
2022-03-31,23.29,$-0.77,0.0
2021-12-31,16.85,$-0.86,0.0
2021-09-30,18.53,$-4.19,0.0
2021-06-30,23.8,$-3.35,0.0
2021-03-31,25.67,$-4.13,0.0
2020-12-31,23.12,$-4.67,0.0
2020-09-30,23.97,$-5.01,0.0
2020-06-30,21.42,$-6.37,0.0
2020-03-31,8.16,$-6.87,0.0
2019-12-31,6.54,$-7.67,0.0
2019-09-30,47.77,$-7.45,0.0
2019-06-30,33.15,$-8.28,0.0
2019-03-31,39.27,$-8.81,0.0
2018-12-31,22.1,$-9.62,0.0
2018-09-30,23.46,$-11.94,0.0
2018-06-30,22.1,$-12.47,0.0
2018-03-31,26.01,$-14.31,0.0
2017-12-31,58.48,$-14.17,0.0
2017-09-30,67.49,$-12.47,0.0
2017-06-30,68.34,$-13.02,0.0
2017-03-31,66.3,$-13.84,0.0
2016-12-31,62.56,$-17.08,0.0
2016-09-30,75.82,$-18.97,0.0
2016-06-30,51.68,$-19.71,0.0
2016-03-31,172.55,$-17.96,0.0
2015-12-31,219.81,$-15.89,0.0
2015-09-30,201.11,$-16.97,0.0
2015-06-30,145.86,$-15.78,0.0
2015-03-31,117.3,$-22.86,0.0
2014-12-31,89.42,$-23.13,0.0
2014-09-30,103.87,$-37.63,0.0
