MasterBrand Price to Free Cash Flow Ratio Historical Data,MasterBrand Price to Free Cash Flow Ratio Historical Data,MasterBrand Price to Free Cash Flow Ratio Historical Data,MasterBrand Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.8,,8.0
2024-12-31,14.61,$1.72,8.47
2024-09-30,18.54,$1.42,13.09
2024-06-30,14.68,$1.92,7.64
2024-03-31,18.74,$2.32,8.09
2023-12-31,14.85,$2.68,5.53
2023-09-30,12.15,$3.81,3.19
