Imperial Oil Price to Free Cash Flow Ratio Historical Data,Imperial Oil Price to Free Cash Flow Ratio Historical Data,Imperial Oil Price to Free Cash Flow Ratio Historical Data,Imperial Oil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.26,,12.52
2024-12-31,61.6,$5.69,10.82
2024-09-30,69.87,$4.95,14.11
2024-06-30,67.27,$6.07,11.08
2024-03-31,67.69,$4.98,13.58
2023-12-31,56.0,$2.62,21.39
2023-09-30,59.92,$4.07,14.71
2023-06-30,49.45,$5.94,8.33
2023-03-31,48.72,$8.34,5.84
2022-12-31,46.44,$11.82,3.93
2022-09-30,40.99,$10.56,3.88
2022-06-30,44.39,$8.08,5.49
2022-03-31,45.31,$5.96,7.6
2021-12-31,33.65,$4.99,6.75
2021-09-30,29.24,$3.76,7.77
2021-06-30,27.95,$2.58,10.84
2021-03-31,22.08,$0.84,26.31
2020-12-31,17.24,$0.01,1413.48
2020-09-30,10.73,$0.49,21.7
2020-06-30,14.26,$0.78,18.19
2020-03-31,9.92,$2.38,4.16
2019-12-31,23.12,$2.83,8.16
2019-09-30,22.58,$2.66,8.49
2019-06-30,23.85,$2.50,9.54
2019-03-31,23.45,$2.35,9.98
2018-12-31,21.57,$2.37,9.1
2018-09-30,27.45,$2.61,10.53
2018-06-30,28.06,$2.35,11.92
2018-03-31,22.27,$2.05,10.85
2017-12-31,26.09,$1.83,14.29
2017-09-30,26.61,$3.22,8.25
2017-06-30,24.2,$4.21,5.74
2017-03-31,25.19,$4.15,6.07
2016-12-31,28.61,$3.52,8.13
2016-09-30,25.69,$1.32,19.46
2016-06-30,25.79,$0.21,120.02
2016-03-31,27.2,$-0.23,0.0
2015-12-31,26.4,$-0.63,0.0
2015-09-30,25.57,$-0.83,0.0
2015-06-30,31.15,$-1.45,0.0
2015-03-31,32.08,$-0.66,0.0
2014-12-31,34.52,$-0.04,0.0
2014-09-30,37.79,$0.52,72.47
2014-06-30,42.02,$-1.03,0.0
2014-03-31,37.07,$-2.43,0.0
2013-12-31,35.14,$-3.25,0.0
2013-09-30,34.82,$-3.21,0.0
2013-06-30,30.18,$-2.38,0.0
2013-03-31,32.18,$-1.42,0.0
2012-12-31,33.77,$-0.67,0.0
2012-09-30,36.05,$-0.81,0.0
2012-06-30,32.59,$0.73,44.86
2012-03-31,35.36,$0.40,88.97
2011-12-31,34.56,$0.68,51.08
2011-09-30,27.99,$0.50,56.16
2011-06-30,36.01,$-0.37,0.0
2011-03-31,39.38,$-0.69,0.0
2010-12-31,31.18,$-0.74,0.0
2010-09-30,29.02,$-0.45,0.0
2010-06-30,27.86,$-0.26,0.0
2010-03-31,29.66,$0.06,497.6
2009-12-31,29.42,$-0.71,0.0
