EVI Industries Price to Free Cash Flow Ratio Historical Data,EVI Industries Price to Free Cash Flow Ratio Historical Data,EVI Industries Price to Free Cash Flow Ratio Historical Data,EVI Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.56,,12.65
2024-12-31,16.35,$1.47,11.15
2024-09-30,19.33,$1.98,9.77
2024-06-30,18.62,$2.10,8.86
2024-03-31,24.51,$1.74,14.1
2023-12-31,23.35,$0.95,24.5
2023-09-30,24.18,$0.38,62.99
2023-06-30,21.43,$-0.22,0.0
2023-03-31,19.29,$-0.43,0.0
2022-12-31,23.25,$-0.76,0.0
2022-09-30,17.67,$-0.13,0.0
2022-06-30,9.73,$-0.46,0.0
2022-03-31,18.11,$-0.13,0.0
2021-12-31,30.42,$0.16,195.88
2021-09-30,26.49,$-0.30,0.0
2021-06-30,27.66,$0.86,32.01
2021-03-31,28.02,$0.92,30.33
2020-12-31,29.14,$1.48,19.64
2020-09-30,25.92,$1.84,14.06
2020-06-30,21.15,$1.62,13.07
2020-03-31,15.37,$0.93,16.46
2019-12-31,26.34,$0.56,46.99
2019-09-30,31.09,$-0.38,0.0
2019-06-30,37.28,$-0.97,0.0
2019-03-31,37.14,$0.16,230.97
2018-12-31,32.48,$-0.02,0.0
2018-09-30,37.81,$0.45,84.46
2018-06-30,39.12,$0.93,41.95
2018-03-31,38.1,$-0.25,0.0
2017-12-31,38.83,$0.13,308.68
2017-09-30,26.75,$0.53,50.29
2017-06-30,26.17,$0.25,106.09
2017-03-31,18.34,$0.47,38.7
2016-12-31,14.03,$0.05,258.37
2016-09-30,7.83,$-0.77,0.0
2016-06-30,3.68,$0.20,17.99
2016-03-31,3.12,$0.04,76.01
2015-12-31,4.01,$0.09,45.29
2015-09-30,3.63,$0.74,4.9
2015-06-30,4.07,$-0.56,0.0
2015-03-31,2.71,$0.08,34.98
2014-12-31,2.5,$0.04,56.59
2014-09-30,2.16,$-0.15,0.0
2014-06-30,2.12,$0.87,2.45
2014-03-31,2.86,$0.22,13.25
2013-12-31,2.54,$0.50,5.09
2013-09-30,1.51,$0.31,4.85
2013-06-30,1.34,$0.52,2.59
2013-03-31,1.2,$0.52,2.33
2012-12-31,1.29,$0.47,2.71
2012-09-30,0.88,$0.56,1.56
2012-06-30,0.71,$-0.00,0.0
2012-03-31,0.72,$-0.01,0.0
2011-12-31,0.67,$0.16,4.3
2011-09-30,0.73,$-0.00,0.0
2011-06-30,0.7,$0.14,5.0
2011-03-31,0.73,$0.24,2.97
2010-12-31,0.57,$0.09,6.29
2010-09-30,0.57,$0.17,3.46
2010-06-30,0.6,$0.09,6.58
2010-03-31,0.64,$-0.16,0.0
2009-12-31,0.62,0,0.0
