NexGel Price to Free Cash Flow Ratio Historical Data,NexGel Price to Free Cash Flow Ratio Historical Data,NexGel Price to Free Cash Flow Ratio Historical Data,NexGel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.66,,0.0
2024-09-30,2.58,$-0.64,0.0
2024-06-30,2.16,$-0.65,0.0
2024-03-31,2.73,$-0.76,0.0
2023-12-31,2.13,$-0.69,0.0
2023-09-30,2.12,$-0.69,0.0
2023-06-30,2.5,$-0.66,0.0
2023-03-31,1.28,$-0.55,0.0
2022-12-31,1.25,$-0.55,0.0
2022-09-30,1.51,$-1.45,0.0
