Israel Acquisitions Price to Free Cash Flow Ratio Historical Data,Israel Acquisitions Price to Free Cash Flow Ratio Historical Data,Israel Acquisitions Price to Free Cash Flow Ratio Historical Data,Israel Acquisitions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.46,,inf
2024-09-30,11.2,0.0,0.0
2024-06-30,11.0,0.0,0.0
2024-03-31,10.79,0.0,0.0
2023-12-31,10.74,0.0,0.0
