QIAGEN Price to Free Cash Flow Ratio Historical Data,QIAGEN Price to Free Cash Flow Ratio Historical Data,QIAGEN Price to Free Cash Flow Ratio Historical Data,QIAGEN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.36,,18.61
2024-09-30,45.57,$2.11,21.55
2024-06-30,41.09,$1.88,21.82
2024-03-31,42.99,$1.65,26.1
2023-12-31,44.77,$1.38,32.41
2023-09-30,41.75,$1.21,34.64
2023-06-30,46.42,$1.69,27.42
2023-03-31,47.35,$1.97,24.02
2022-12-31,51.41,$2.62,19.63
2022-09-30,42.56,$3.02,14.09
2022-06-30,48.66,$2.63,18.52
2022-03-31,50.52,$2.49,20.25
2021-12-31,57.3,$2.05,27.92
2021-09-30,53.28,$2.40,22.23
2021-06-30,49.88,$1.91,26.14
2021-03-31,50.2,$1.87,26.87
2020-12-31,54.48,$1.47,37.03
2020-09-30,53.88,$0.82,65.76
2020-06-30,44.13,$1.12,39.46
2020-03-31,42.89,$0.88,48.73
2019-12-31,34.85,$1.00,35.0
2019-09-30,33.99,$0.97,35.05
2019-06-30,41.8,$0.91,46.11
2019-03-31,41.94,$1.10,38.22
2018-12-31,35.52,$1.13,31.31
2018-09-30,39.05,$1.03,38.06
2018-06-30,37.28,$1.04,35.94
2018-03-31,33.31,$0.83,40.17
2017-12-31,31.89,$0.90,35.62
2017-09-30,32.47,$1.02,31.73
2017-06-30,34.57,$1.12,30.77
2017-03-31,29.87,$1.25,23.89
2016-12-31,30.0,$1.19,25.31
2016-09-30,29.38,$1.05,28.07
2016-06-30,23.35,$1.07,21.91
2016-03-31,23.92,$0.93,25.8
2015-12-31,29.6,$0.98,30.3
2015-09-30,27.64,$0.96,28.82
2015-06-30,26.54,$0.92,28.87
2015-03-31,26.98,$0.94,28.82
2014-12-31,25.12,$0.88,28.55
2014-09-30,24.38,$0.92,26.43
2014-06-30,26.18,$0.86,30.38
2014-03-31,22.58,$0.78,28.79
2013-12-31,25.49,$0.79,32.12
2013-09-30,22.91,$0.72,31.93
2013-06-30,21.32,$0.67,31.71
2013-03-31,22.57,$0.83,27.17
2012-12-31,19.43,$0.66,29.46
2012-09-30,19.82,$0.72,27.69
2012-06-30,17.88,$0.70,25.61
2012-03-31,16.67,$0.57,29.31
2011-12-31,14.78,$0.74,20.06
2011-09-30,14.81,$0.81,18.27
2011-06-30,20.36,$1.11,18.31
2011-03-31,21.47,$0.88,24.53
2010-12-31,20.93,$0.80,26.07
2010-09-30,18.99,$0.59,32.39
2010-06-30,20.58,$0.76,27.18
2010-03-31,24.61,$0.80,30.82
2009-12-31,23.91,$0.76,31.58
