Kimberly-Clark Price to Free Cash Flow Ratio Historical Data,Kimberly-Clark Price to Free Cash Flow Ratio Historical Data,Kimberly-Clark Price to Free Cash Flow Ratio Historical Data,Kimberly-Clark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,139.08,,14.81
2024-12-31,131.04,$9.39,13.96
2024-09-30,141.0,$10.60,13.3
2024-06-30,135.83,$8.61,15.78
2024-03-31,127.13,$8.42,15.1
2023-12-31,118.28,$8.92,13.27
2023-09-30,116.51,$8.25,14.11
2023-06-30,131.88,$7.75,17.02
2023-03-31,127.09,$6.89,18.46
2022-12-31,127.32,$5.52,23.05
2022-09-30,104.66,$5.52,18.97
2022-06-30,124.54,$5.38,23.13
2022-03-31,112.47,$5.00,22.49
2021-12-31,129.35,$5.21,24.82
2021-09-30,118.87,$4.58,25.96
2021-06-30,119.08,$3.83,31.13
2021-03-31,122.7,$6.47,18.97
2020-12-31,117.93,$7.42,15.88
2020-09-30,128.15,$7.50,17.1
2020-06-30,121.82,$8.92,13.66
2020-03-31,109.35,$6.14,17.81
2019-12-31,116.76,$5.12,22.81
2019-09-30,119.68,$5.24,22.83
2019-06-30,111.47,$4.36,25.56
2019-03-31,102.83,$5.13,20.03
2018-12-31,93.72,$6.13,15.28
2018-09-30,92.66,$6.10,15.18
2018-06-30,85.16,$6.38,13.34
2018-03-31,88.16,$6.42,13.74
2017-12-31,95.74,$6.03,15.87
2017-09-30,92.62,$6.09,15.2
2017-06-30,100.8,$6.52,15.47
2017-03-31,102.01,$6.57,15.53
2016-12-31,87.8,$6.87,12.78
2016-09-30,96.27,$6.03,15.96
2016-06-30,104.17,$5.49,18.96
2016-03-31,101.2,$5.05,20.05
2015-12-31,95.11,$3.41,27.87
2015-09-30,80.87,$3.03,26.69
2015-06-30,77.94,$3.29,23.7
2015-03-31,78.14,$3.60,21.71
2014-12-31,83.62,$4.79,17.47
2014-09-30,74.11,$5.86,12.64
2014-06-30,76.03,$5.94,12.79
2014-03-31,74.8,$5.15,14.53
2013-12-31,70.33,$5.72,12.29
2013-09-30,62.94,$5.92,10.63
2013-06-30,64.33,$5.43,11.84
2013-03-31,64.34,$5.78,11.13
2012-12-31,54.97,$5.56,9.88
2012-09-30,55.37,$4.12,13.44
2012-06-30,53.59,$4.09,13.1
2012-03-31,46.84,$4.22,11.09
2011-12-31,46.15,$3.44,13.42
2011-09-30,44.12,$4.32,10.22
2011-06-30,40.93,$4.13,9.9
2011-03-31,39.71,$3.69,10.77
2010-12-31,37.95,$4.32,8.79
2010-09-30,38.74,$4.64,8.35
2010-06-30,35.75,$4.93,7.26
2010-03-31,36.68,$5.88,6.24
2009-12-31,36.76,$6.38,5.76
