Dominari Holdings Price to Free Cash Flow Ratio Historical Data,Dominari Holdings Price to Free Cash Flow Ratio Historical Data,Dominari Holdings Price to Free Cash Flow Ratio Historical Data,Dominari Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.32,,0.0
2024-09-30,1.85,$-2.86,0.0
2024-06-30,1.87,$-2.55,0.0
2024-03-31,2.45,$-4.95,0.0
2023-12-31,2.59,$-4.33,0.0
2023-09-30,2.32,$-3.71,0.0
2023-06-30,2.91,$-3.84,0.0
2023-03-31,3.22,$-2.08,0.0
2022-12-31,3.28,$-1.99,0.0
2022-09-30,6.84,$-2.12,0.0
2022-06-30,5.9,$-1.97,0.0
2022-03-31,7.65,$-1.80,0.0
2021-12-31,9.98,$-1.36,0.0
2021-09-30,14.01,$-1.56,0.0
2021-06-30,16.27,$-1.71,0.0
2021-03-31,19.38,$-0.06,0.0
2020-12-31,14.85,$-2.44,0.0
2020-09-30,10.44,$-6.64,0.0
2020-06-30,13.94,$-8.74,0.0
2020-03-31,8.62,$-15.52,0.0
2019-12-31,22.44,$-20.43,0.0
2019-09-30,28.56,$-20.64,0.0
2019-06-30,42.5,$-22.75,0.0
2019-03-31,65.75,$-20.29,0.0
2018-12-31,46.49,$-24.79,0.0
2018-09-30,72.25,$-31.73,0.0
2018-06-30,76.59,$-31.18,0.0
2018-03-31,86.7,$-42.43,0.0
2017-12-31,101.15,$-42.70,0.0
2017-09-30,107.65,$-45.05,0.0
2017-06-30,187.85,$-66.00,0.0
2017-03-31,89.59,$29.44,3.04
2016-12-31,75.14,$1.24,60.46
2016-09-30,95.37,$-27.70,0.0
2016-06-30,171.96,$-36.91,0.0
2016-03-31,130.77,$-173.66,0.0
2015-12-31,200.83,$-197.28,0.0
2015-09-30,466.74,$-583.01,0.0
2015-06-30,658.92,$-514.85,0.0
2015-03-31,1148.03,$-290.24,0.0
2014-12-31,1482.57,$-662.68,0.0
2014-09-30,2141.49,$-234.87,0.0
2014-06-30,2457.22,$-268.62,0.0
2014-03-31,4104.52,$-439.09,0.0
2013-12-31,11064.36,$-4.00,0.0
2013-09-30,10899.63,$-5.51,0.0
2013-06-30,6108.74,$-8.24,0.0
2013-03-31,11188.05,$-9.19,0.0
2012-12-31,9370.39,$-13.94,0.0
2012-09-30,16143.54,$-18.51,0.0
2012-06-30,15923.9,$-39.07,0.0
2012-03-31,23885.85,$-37.19,0.0
2011-12-31,32122.35,$-31.56,0.0
2011-09-30,54910.0,$-25.21,0.0
2011-06-30,64793.8,$-3.08,0.0
2011-03-31,120802.0,$-3.85,0.0
2010-12-31,194930.49,$-4.82,0.0
2010-09-30,422806.98,$-4.00,0.0
2010-06-30,370642.49,$-3.04,0.0
2010-03-31,384369.98,$-2.04,0.0
2009-12-31,312986.99,$-0.53,0.0
