U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.61,,5.9
2024-12-31,47.83,$7.22,6.62
2024-09-30,45.73,$4.19,10.92
2024-06-30,39.27,$6.04,6.5
2024-03-31,43.68,$6.36,6.87
2023-12-31,41.82,$5.20,8.04
2023-09-30,31.59,$9.78,3.23
2023-06-30,31.11,$9.67,3.22
2023-03-31,33.46,$9.02,3.71
2022-12-31,39.93,$14.17,2.82
2022-09-30,36.52,$10.02,3.64
2022-06-30,41.2,$9.46,4.35
2022-03-31,47.11,$11.71,4.02
2021-12-31,49.37,$6.62,7.45
2021-09-30,51.82,$5.46,9.49
2021-06-30,49.29,$5.84,8.44
2021-03-31,47.51,$1.53,30.96
2020-12-31,39.72,$2.46,16.14
2020-09-30,30.29,$3.13,9.69
2020-06-30,30.74,$2.89,10.64
2020-03-31,28.43,$3.83,7.42
2019-12-31,48.37,$3.09,15.66
2019-09-30,44.83,$4.74,9.46
2019-06-30,42.13,$4.80,8.78
2019-03-31,38.47,$6.39,6.02
2018-12-31,36.2,$6.45,5.61
2018-09-30,41.49,$4.73,8.76
2018-06-30,39.03,$3.87,10.09
2018-03-31,39.17,$2.84,13.81
2017-12-31,41.31,$3.85,10.74
2017-09-30,41.09,$5.17,7.95
2017-06-30,39.59,$4.37,9.05
2017-03-31,39.05,$4.25,9.2
2016-12-31,38.75,$3.10,12.52
2016-09-30,32.18,$3.30,9.74
2016-06-30,30.06,$4.60,6.54
2016-03-31,30.06,$4.70,6.39
2015-12-31,31.4,$4.96,6.34
2015-09-30,30.0,$4.01,7.48
2015-06-30,31.55,$2.72,11.61
2015-03-31,31.57,$2.40,13.13
2014-12-31,32.31,$2.94,10.98
2014-09-30,29.9,$3.96,7.54
2014-06-30,30.79,$4.81,6.41
2014-03-31,30.29,$6.81,4.45
2013-12-31,28.4,$6.19,4.59
2013-09-30,25.57,$6.85,3.73
2013-06-30,25.11,$5.80,4.33
2013-03-31,23.42,$3.47,6.74
2012-12-31,21.92,$4.20,5.22
2012-09-30,23.39,$2.59,9.02
2012-06-30,21.81,$2.45,8.9
2012-03-31,21.35,$3.49,6.11
2011-12-31,18.12,$5.11,3.55
2011-09-30,15.69,$5.82,2.7
2011-06-30,16.92,$5.23,3.23
2011-03-31,17.44,$4.46,3.91
2010-12-31,17.71,$2.73,6.49
2010-09-30,14.17,$3.35,4.23
2010-06-30,14.62,$5.73,2.55
2010-03-31,16.89,$4.54,3.72
2009-12-31,14.66,$4.09,3.59
