China Pharma Holdings Price to Free Cash Flow Ratio Historical Data,China Pharma Holdings Price to Free Cash Flow Ratio Historical Data,China Pharma Holdings Price to Free Cash Flow Ratio Historical Data,China Pharma Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.24,,35.38
2024-09-30,0.24,$0.01,0.0
2024-06-30,0.25,$0.71,0.35
2024-03-31,0.37,$0.62,0.6
2023-12-31,0.61,$-0.21,0.0
2023-09-30,0.74,$0.39,1.89
2023-06-30,1.71,$-0.30,0.0
2023-03-31,1.95,$-0.72,0.0
2022-12-31,4.8,$-0.77,0.0
2022-09-30,6.5,$-1.64,0.0
2022-06-30,10.73,$-2.60,0.0
2022-03-31,19.5,$-1.37,0.0
2021-12-31,24.13,$-0.75,0.0
2021-09-30,27.93,$0.13,219.19
2021-06-30,36.16,$0.52,69.77
2021-03-31,42.0,$-0.67,0.0
2020-12-31,22.29,$-1.04,0.0
2020-09-30,18.24,$-1.78,0.0
2020-06-30,33.32,$-0.69,0.0
2020-03-31,25.2,$0.22,115.2
2019-12-31,11.84,$0.54,21.85
2019-09-30,12.26,$1.61,7.62
2019-06-30,16.17,$2.08,7.77
2019-03-31,16.59,$1.15,14.45
2018-12-31,12.87,$2.10,6.13
2018-09-30,10.21,$2.11,4.83
2018-06-30,11.0,$1.86,5.9
2018-03-31,15.86,$1.42,11.13
2017-12-31,8.78,$0.81,10.86
2017-09-30,8.75,$1.38,6.33
2017-06-30,11.5,$1.59,7.22
2017-03-31,13.0,$1.63,7.97
2016-12-31,13.0,$3.10,4.19
2016-09-30,10.75,$4.20,2.56
2016-06-30,12.0,$4.51,2.66
2016-03-31,8.5,$4.56,1.86
2015-12-31,7.85,$3.06,2.57
2015-09-30,9.92,$1.56,6.37
2015-06-30,18.0,$0.09,201.06
2015-03-31,17.0,$-0.07,0.0
2014-12-31,15.01,$-1.46,0.0
2014-09-30,12.55,$-7.93,0.0
2014-06-30,19.25,$-17.60,0.0
2014-03-31,25.25,$-13.96,0.0
2013-12-31,17.25,$-11.70,0.0
2013-09-30,14.0,$-6.38,0.0
2013-06-30,10.5,$3.51,2.99
2013-03-31,14.5,$3.41,4.25
2012-12-31,10.1,$2.15,4.7
2012-09-30,18.25,$1.87,9.76
2012-06-30,17.0,$3.82,4.45
2012-03-31,34.0,$3.64,9.35
2011-12-31,33.5,$5.62,5.96
2011-09-30,48.5,$8.03,6.04
2011-06-30,112.5,$9.12,12.34
2011-03-31,126.5,$9.17,13.79
2010-12-31,151.5,$8.87,17.08
2010-09-30,124.5,$11.92,10.44
2010-06-30,137.5,$12.75,10.79
2010-03-31,166.5,$12.97,12.84
2009-12-31,192.5,$12.45,15.46
