Ethan Allen Interiors Price to Free Cash Flow Ratio Historical Data,Ethan Allen Interiors Price to Free Cash Flow Ratio Historical Data,Ethan Allen Interiors Price to Free Cash Flow Ratio Historical Data,Ethan Allen Interiors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.43,,10.84
2024-12-31,28.11,$2.53,11.11
2024-09-30,31.46,$2.70,11.67
2024-06-30,26.81,$2.75,9.73
2024-03-31,32.79,$2.78,11.78
2023-12-31,29.91,$3.17,9.44
2023-09-30,27.64,$2.59,10.68
2023-06-30,25.48,$3.78,6.75
2023-03-31,24.42,$3.79,6.45
2022-12-31,23.25,$3.13,7.43
2022-09-30,18.38,$3.70,4.97
2022-06-30,17.03,$2.61,6.53
2022-03-31,21.69,$2.66,8.14
2021-12-31,21.62,$3.49,6.2
2021-09-30,19.27,$3.87,4.97
2021-06-30,21.58,$4.84,4.45
2021-03-31,20.73,$4.20,4.94
2020-12-31,15.0,$3.27,4.59
2020-09-30,9.91,$2.29,4.33
2020-06-30,8.66,$1.90,4.57
2020-03-31,7.32,$1.83,3.99
2019-12-31,13.5,$1.78,7.56
2019-09-30,13.38,$2.10,6.37
2019-06-30,14.61,$1.72,8.47
2019-03-31,13.15,$1.54,8.52
2018-12-31,11.37,$1.74,6.53
2018-09-30,13.28,$1.36,9.75
2018-06-30,15.56,$1.10,14.17
2018-03-31,14.46,$1.75,8.27
2017-12-31,17.7,$1.94,9.1
2017-09-30,19.93,$2.01,9.94
2017-06-30,19.86,$2.23,8.92
2017-03-31,18.73,$1.92,9.73
2016-12-31,22.4,$1.61,13.91
2016-09-30,18.9,$1.84,10.27
2016-06-30,19.87,$1.53,12.99
2016-03-31,19.03,$2.15,8.84
2015-12-31,16.55,$1.92,8.6
2015-09-30,15.63,$1.81,8.62
2015-06-30,15.5,$1.52,10.18
2015-03-31,16.2,$0.88,18.49
2014-12-31,18.08,$1.14,15.87
2014-09-30,13.24,$1.03,12.89
2014-06-30,14.31,$1.50,9.53
2014-03-31,14.66,$1.52,9.62
2013-12-31,17.47,$1.86,9.37
2013-09-30,15.94,$2.23,7.16
2013-06-30,16.42,$1.56,10.54
2013-03-31,18.72,$1.30,14.38
2012-12-31,14.62,$0.73,20.09
2012-09-30,11.99,$0.44,27.25
2012-06-30,10.86,$0.57,18.94
2012-03-31,13.76,$1.10,12.46
2011-12-31,12.84,$2.07,6.21
2011-09-30,7.34,$2.16,3.4
2011-06-30,11.44,$1.98,5.79
2011-03-31,11.74,$1.84,6.37
2010-12-31,10.7,$0.95,11.22
2010-09-30,9.31,$1.10,8.49
2010-06-30,7.44,$1.88,3.95
2010-03-31,10.94,$1.46,7.48
2009-12-31,7.09,$1.09,6.53
