Genasys Price to Free Cash Flow Ratio Historical Data,Genasys Price to Free Cash Flow Ratio Historical Data,Genasys Price to Free Cash Flow Ratio Historical Data,Genasys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.47,,0.0
2024-12-31,2.6,$-0.29,0.0
2024-09-30,3.56,$-0.44,0.0
2024-06-30,2.12,$-0.37,0.0
2024-03-31,2.37,$-0.35,0.0
2023-12-31,2.03,$-0.27,0.0
2023-09-30,2.01,$-0.27,0.0
2023-06-30,2.6,$-0.33,0.0
2023-03-31,2.95,$-0.11,0.0
2022-12-31,3.7,$-0.05,0.0
2022-09-30,2.77,$0.00,0.0
2022-06-30,3.25,$-0.08,0.0
2022-03-31,2.75,$0.07,38.95
2021-12-31,3.98,$0.05,77.28
2021-09-30,5.18,$0.17,31.02
2021-06-30,5.48,$0.32,16.89
2021-03-31,6.69,$0.27,24.68
2020-12-31,6.52,$0.29,22.39
2020-09-30,6.15,$0.20,30.94
2020-06-30,4.86,$0.33,14.88
2020-03-31,3.27,$0.25,12.85
2019-12-31,3.27,$0.38,8.55
2019-09-30,3.35,$0.28,11.76
2019-06-30,3.29,$0.02,156.67
2019-03-31,2.85,$-0.10,0.0
2018-12-31,2.52,$-0.19,0.0
2018-09-30,3.06,$0.02,158.55
2018-06-30,2.63,$0.01,0.0
2018-03-31,2.3,$0.03,87.45
2017-12-31,2.49,$-0.02,0.0
2017-09-30,2.13,$-0.03,0.0
2017-06-30,1.7,$-0.02,0.0
2017-03-31,1.51,$0.00,0.0
2016-12-31,1.71,$0.02,96.07
2016-09-30,1.87,$-0.04,0.0
2016-06-30,1.79,$0.02,83.26
2016-03-31,1.65,$-0.01,0.0
2015-12-31,1.96,$-0.00,0.0
2015-09-30,1.64,$-0.01,0.0
2015-06-30,1.96,$0.04,45.28
2015-03-31,2.31,$0.16,14.88
2014-12-31,2.65,$0.16,17.02
2014-09-30,2.66,$0.24,11.03
2014-06-30,2.02,$0.19,10.86
2014-03-31,2.06,$0.07,28.71
2013-12-31,1.85,$0.04,41.52
2013-09-30,1.43,$0.05,29.15
2013-06-30,1.11,$0.02,58.77
2013-03-31,1.02,$0.06,17.56
2012-12-31,1.08,$0.07,15.36
2012-09-30,1.37,$-0.00,0.0
2012-06-30,1.17,$0.04,31.19
2012-03-31,1.51,$0.07,20.21
2011-12-31,1.46,$0.18,8.02
2011-09-30,1.82,$0.12,15.03
2011-06-30,2.67,$0.09,29.54
2011-03-31,2.74,$0.01,207.74
2010-12-31,2.64,$-0.04,0.0
2010-09-30,1.54,$0.01,0.0
2010-06-30,1.23,$0.04,34.9
2010-03-31,1.51,$0.12,12.59
2009-12-31,1.45,$0.07,20.35
