Affiliated Managers Price to Free Cash Flow Ratio Historical Data,Affiliated Managers Price to Free Cash Flow Ratio Historical Data,Affiliated Managers Price to Free Cash Flow Ratio Historical Data,Affiliated Managers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,169.43,,6.59
2024-12-31,184.92,$25.73,7.19
2024-09-30,177.79,$26.80,6.63
2024-06-30,156.21,$25.61,6.1
2024-03-31,167.44,$19.78,8.47
2023-12-31,151.38,$20.42,7.41
2023-09-30,130.3,$17.29,7.54
2023-06-30,149.83,$17.68,8.47
2023-03-31,142.35,$24.12,5.9
2022-12-31,158.35,$21.29,7.44
2022-09-30,111.78,$25.90,4.32
2022-06-30,116.52,$26.86,4.34
2022-03-31,140.85,$26.79,5.26
2021-12-31,164.38,$27.92,5.89
2021-09-30,150.96,$28.24,5.35
2021-06-30,154.07,$25.89,5.95
2021-03-31,148.88,$23.84,6.25
2020-12-31,101.59,$21.43,4.74
2020-09-30,68.3,$19.40,3.52
2020-06-30,74.46,$20.07,3.71
2020-03-31,59.05,$20.31,2.91
2019-12-31,84.29,$18.17,4.64
2019-09-30,82.6,$17.39,4.75
2019-06-30,90.94,$16.33,5.57
2019-03-31,105.35,$16.95,6.22
2018-12-31,95.55,$20.85,4.58
2018-09-30,133.73,$21.74,6.15
2018-06-30,145.13,$22.68,6.4
2018-03-31,184.73,$21.16,8.73
2017-12-31,199.68,$19.66,10.16
2017-09-30,184.48,$19.74,9.35
2017-06-30,161.01,$19.64,8.2
2017-03-31,158.94,$19.69,8.07
2016-12-31,140.69,$18.07,7.79
2016-09-30,140.11,$17.80,7.87
2016-06-30,136.3,$18.43,7.39
2016-03-31,157.25,$18.94,8.3
2015-12-31,154.69,$20.54,7.53
2015-09-30,165.57,$21.56,7.68
2015-06-30,211.67,$21.38,9.9
2015-03-31,207.97,$20.94,9.93
2014-12-31,205.51,$24.28,8.47
2014-09-30,194.0,$20.89,9.29
2014-06-30,198.88,$18.98,10.48
2014-03-31,193.7,$18.13,10.68
2013-12-31,210.0,$16.46,12.76
2013-09-30,176.85,$16.18,10.93
2013-06-30,158.74,$15.54,10.22
2013-03-31,148.7,$14.25,10.44
2012-12-31,126.02,$11.57,10.89
2012-09-30,119.1,$11.09,10.73
2012-06-30,105.98,$11.77,9.01
2012-03-31,108.26,$11.65,9.29
2011-12-31,92.91,$13.06,7.11
2011-09-30,75.57,$13.10,5.77
2011-06-30,98.23,$11.45,8.58
2011-03-31,105.9,$10.46,10.12
2010-12-31,96.07,$9.55,10.06
2010-09-30,75.54,$8.47,8.92
2010-06-30,58.84,$7.33,8.03
2010-03-31,76.49,$6.66,11.48
2009-12-31,65.21,$5.56,11.74
