TXNM Energy Price to Free Cash Flow Ratio Historical Data,TXNM Energy Price to Free Cash Flow Ratio Historical Data,TXNM Energy Price to Free Cash Flow Ratio Historical Data,TXNM Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,54.06,,0.0
2024-12-31,49.17,$-8.12,0.0
2024-09-30,43.39,$-7.59,0.0
2024-06-30,36.64,$-7.13,0.0
2024-03-31,37.31,$-6.62,0.0
2023-12-31,41.23,$-5.70,0.0
2023-09-30,44.22,$-5.02,0.0
2023-06-30,44.33,$-4.11,0.0
2023-03-31,47.85,$-4.14,0.0
2022-12-31,47.6,$-4.01,0.0
2022-09-30,44.62,$-6.67,0.0
2022-06-30,46.62,$-5.62,0.0
2022-03-31,46.17,$-4.58,0.0
2021-12-31,43.84,$-4.50,0.0
2021-09-30,47.56,$-1.83,0.0
2021-06-30,46.56,$-2.04,0.0
2021-03-31,46.52,$-2.82,0.0
2020-12-31,45.72,$-2.41,0.0
2020-09-30,38.7,$-0.26,0.0
2020-06-30,35.73,$-0.55,0.0
2020-03-31,35.32,$0.05,687.25
2019-12-31,47.14,$0.17,283.97
2019-09-30,48.15,$-1.48,0.0
2019-06-30,46.78,$-1.03,0.0
2019-03-31,43.5,$-0.89,0.0
2018-12-31,37.51,$-0.91,0.0
2018-09-30,36.01,$-1.11,0.0
2018-06-30,35.27,$-0.73,0.0
2018-03-31,34.68,$-0.41,0.0
2017-12-31,36.41,$0.29,126.86
2017-09-30,36.07,$0.66,54.87
2017-06-30,34.24,$0.43,79.42
2017-03-31,33.12,$0.16,202.93
2016-12-31,30.48,$-2.39,0.0
2016-09-30,28.88,$-3.46,0.0
2016-06-30,31.07,$-3.81,0.0
2016-03-31,29.56,$-4.07,0.0
2015-12-31,26.6,$-2.14,0.0
2015-09-30,24.41,$-1.93,0.0
2015-06-30,21.24,$-1.65,0.0
2015-03-31,25.04,$-0.90,0.0
2014-12-31,25.41,$-0.57,0.0
2014-09-30,21.22,$-0.07,0.0
2014-06-30,24.81,$-0.06,0.0
2014-03-31,22.72,$1.32,17.25
2013-12-31,20.27,$0.48,42.29
2013-09-30,18.89,$0.74,25.59
2013-06-30,18.39,$1.17,15.66
2013-03-31,19.16,$-0.40,0.0
2012-12-31,16.76,$-0.34,0.0
2012-09-30,17.07,$-0.10,0.0
2012-06-30,15.75,$-1.08,0.0
2012-03-31,14.75,$-1.21,0.0
2011-12-31,14.48,$-0.39,0.0
2011-09-30,12.96,$-0.73,0.0
2011-06-30,13.1,$-0.02,0.0
2011-03-31,11.57,$0.90,12.88
2010-12-31,10.01,$0.06,156.36
2010-09-30,8.66,$-0.55,0.0
2010-06-30,8.41,$-1.02,0.0
2010-03-31,9.43,$-2.02,0.0
2009-12-31,9.33,$-2.19,0.0
