Solo Brands Price to Free Cash Flow Ratio Historical Data,Solo Brands Price to Free Cash Flow Ratio Historical Data,Solo Brands Price to Free Cash Flow Ratio Historical Data,Solo Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.21,,0.0
2024-12-31,1.14,$-0.07,0.0
2024-09-30,1.41,$0.09,15.55
2024-06-30,2.28,$-0.01,0.0
2024-03-31,2.17,$0.32,6.79
2023-12-31,6.16,$0.88,6.99
2023-09-30,5.1,$1.59,3.2
2023-06-30,5.66,$1.38,4.1
2023-03-31,7.18,$1.00,7.21
2022-12-31,3.72,$0.36,10.2
2022-09-30,3.8,$-1.01,0.0
