Walker & Dunlop Price to Free Cash Flow Ratio Historical Data,Walker & Dunlop Price to Free Cash Flow Ratio Historical Data,Walker & Dunlop Price to Free Cash Flow Ratio Historical Data,Walker & Dunlop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,86.43,,24.62
2024-12-31,97.21,$3.51,27.69
2024-09-30,112.91,$-2.34,0.0
2024-06-30,97.0,$20.37,4.76
2024-03-31,99.2,$17.29,5.74
2023-12-31,108.23,$-0.51,0.0
2023-09-30,71.83,$52.12,1.38
2023-06-30,75.95,$-5.11,0.0
2023-03-31,72.51,$1.57,46.05
2022-12-31,74.17,$47.75,1.55
2022-09-30,78.57,$18.85,4.17
2022-06-30,89.92,$28.98,3.1
2022-03-31,120.09,$14.74,8.15
2021-12-31,139.4,$27.31,5.1
2021-09-30,104.52,$22.04,4.74
2021-06-30,95.63,$5.29,18.08
2021-03-31,93.65,$5.92,15.81
2020-12-31,83.47,$-45.50,0.0
2020-09-30,47.85,$-57.10,0.0
2020-06-30,45.57,$-7.70,0.0
2020-03-31,35.78,$8.77,4.08
2019-12-31,57.19,$13.72,4.17
2019-09-30,49.23,$33.52,1.47
2019-06-30,46.58,$4.71,9.89
2019-03-31,44.32,$-8.24,0.0
2018-12-31,37.46,$1.89,19.81
2018-09-30,45.55,$40.32,1.13
2018-06-30,47.72,$12.72,3.75
2018-03-31,50.72,$19.42,2.61
2017-12-31,40.34,$33.85,1.19
2017-09-30,44.44,$-58.63,0.0
2017-06-30,41.47,$26.53,1.56
2017-03-31,35.4,$-18.94,0.0
2016-12-31,26.5,$24.79,1.07
2016-09-30,21.45,$-1.40,0.0
2016-06-30,19.35,$-39.05,0.0
2016-03-31,20.61,$27.34,0.75
2015-12-31,24.47,$-43.30,0.0
2015-09-30,22.15,$-6.61,0.0
2015-06-30,22.71,$-3.45,0.0
2015-03-31,15.06,$-26.22,0.0
2014-12-31,14.9,$-21.63,0.0
2014-09-30,11.29,$-12.23,0.0
2014-06-30,11.98,$-5.51,0.0
2014-03-31,13.89,$4.14,3.35
2013-12-31,13.73,$24.24,0.57
2013-09-30,13.51,$24.71,0.55
2013-06-30,14.86,$-7.48,0.0
2013-03-31,15.26,$-13.70,0.0
2012-12-31,14.15,$-32.65,0.0
2012-09-30,13.05,$-42.88,0.0
2012-06-30,10.91,$3.25,3.36
2012-03-31,10.7,$-6.98,0.0
2011-12-31,10.67,$2.50,4.27
2011-09-30,9.87,$-1.08,0.0
