Scorpio Tankers Price to Free Cash Flow Ratio Historical Data,Scorpio Tankers Price to Free Cash Flow Ratio Historical Data,Scorpio Tankers Price to Free Cash Flow Ratio Historical Data,Scorpio Tankers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.18,,1.76
2024-09-30,70.76,$24.03,2.94
2024-06-30,80.25,$19.50,4.11
2024-03-31,70.26,$17.39,4.04
2023-12-31,59.36,$17.06,3.48
2023-09-30,52.5,$18.50,2.84
2023-06-30,45.59,$20.19,2.26
2023-03-31,54.05,$22.18,2.44
2022-12-31,51.43,$21.68,2.37
2022-09-30,40.13,$18.55,2.16
2022-06-30,32.86,$11.43,2.87
2022-03-31,20.29,$5.55,3.66
2021-12-31,12.09,$1.34,9.02
2021-09-30,17.36,$-0.23,0.0
2021-06-30,20.52,$5.12,4.01
2021-03-31,17.1,$6.69,2.56
2020-12-31,10.3,$7.44,1.38
2020-09-30,10.1,$7.14,1.41
2020-06-30,11.6,$0.33,35.22
2020-03-31,17.21,$-0.39,0.0
2019-12-31,35.24,$0.05,692.32
2019-09-30,26.58,$0.87,30.64
2019-06-30,26.28,$2.57,10.23
2019-03-31,17.6,$1.79,9.81
2018-12-31,15.61,$0.91,17.13
2018-09-30,17.83,$-2.37,0.0
2018-06-30,24.79,$-3.92,0.0
2018-03-31,17.24,$-0.80,0.0
2017-12-31,26.71,$-4.14,0.0
2017-09-30,29.94,$-1.00,0.0
2017-06-30,34.56,$2.70,12.8
2017-03-31,38.56,$5.92,6.51
2016-12-31,39.25,$13.02,3.01
2016-09-30,38.99,$15.72,2.48
2016-06-30,34.47,$7.08,4.87
2016-03-31,46.85,$-10.35,0.0
2015-12-31,63.01,$-21.16,0.0
2015-09-30,71.04,$-43.99,0.0
2015-06-30,77.23,$-67.43,0.0
2015-03-31,71.14,$-67.31,0.0
2014-12-31,64.72,$-62.15,0.0
2014-09-30,61.03,$-94.61,0.0
2014-06-30,73.92,$-39.11,0.0
2014-03-31,71.74,$-35.59,0.0
2013-12-31,84.16,$-52.12,0.0
2013-09-30,69.25,$-5.97,0.0
2013-06-30,63.46,$-49.92,0.0
2013-03-31,62.82,$-39.91,0.0
2012-12-31,50.07,$-22.24,0.0
2012-09-30,42.26,$-30.92,0.0
2012-06-30,45.0,$-10.37,0.0
2012-03-31,49.72,$-46.28,0.0
2011-12-31,34.44,$-47.04,0.0
2011-09-30,37.19,$-84.97,0.0
2011-06-30,70.36,$-123.68,0.0
2011-03-31,72.68,$-163.13,0.0
2010-12-31,71.2,$-152.69,0.0
