Alerus Financial Price to Free Cash Flow Ratio Historical Data,Alerus Financial Price to Free Cash Flow Ratio Historical Data,Alerus Financial Price to Free Cash Flow Ratio Historical Data,Alerus Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.58,,16.47
2024-12-31,19.24,$1.13,17.06
2024-09-30,22.88,$0.86,26.66
2024-06-30,19.43,$0.53,36.34
2024-03-31,21.4,$2.00,10.72
2023-12-31,21.75,$1.28,17.04
2023-09-30,17.52,$3.87,4.53
2023-06-30,17.15,$4.91,3.49
2023-03-31,15.15,$3.19,4.76
2022-12-31,21.8,$5.36,4.07
2022-09-30,20.47,$4.44,4.61
2022-06-30,21.88,$4.66,4.69
2022-03-31,25.2,$7.36,3.43
2021-12-31,26.55,$8.47,3.13
2021-09-30,26.95,$6.48,4.16
2021-06-30,26.01,$4.72,5.52
2021-03-31,26.57,$2.89,9.21
2020-12-31,24.31,$-1.49,0.0
2020-09-30,17.31,$-0.18,0.0
2020-06-30,17.34,$-0.27,0.0
