IPower Price to Free Cash Flow Ratio Historical Data,IPower Price to Free Cash Flow Ratio Historical Data,IPower Price to Free Cash Flow Ratio Historical Data,IPower Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.57,,0.0
2024-12-31,0.83,$-0.03,0.0
2024-09-30,1.81,$0.02,96.79
2024-06-30,2.08,$0.21,10.08
2024-03-31,0.53,$0.22,2.4
2023-12-31,0.45,$0.22,2.07
2023-09-30,0.72,$0.43,1.67
2023-06-30,1.1,$0.31,3.6
2023-03-31,0.54,$0.17,3.16
2022-12-31,0.4,$0.11,3.76
2022-09-30,0.67,$-0.41,0.0
2022-06-30,1.09,$-0.62,0.0
2022-03-31,1.68,$-1.13,0.0
