Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.96,,0.0
2024-12-31,20.05,$-3.66,0.0
2024-09-30,23.46,$-3.53,0.0
2024-06-30,30.77,$-2.94,0.0
2024-03-31,43.7,$-2.87,0.0
2023-12-31,49.58,$-3.39,0.0
2023-09-30,34.96,$-2.40,0.0
2023-06-30,32.77,$-3.95,0.0
2023-03-31,31.88,$-4.81,0.0
2022-12-31,25.47,$-2.28,0.0
2022-09-30,24.52,$-3.32,0.0
2022-06-30,35.23,$-0.47,0.0
2022-03-31,46.29,$2.31,20.04
2021-12-31,47.74,$2.23,21.39
2021-09-30,49.05,$4.25,11.54
2021-06-30,51.36,$4.02,12.78
2021-03-31,58.19,$4.62,12.59
2020-12-31,45.03,$5.06,8.9
2020-09-30,46.47,$4.73,9.82
2020-06-30,53.33,$5.02,10.63
2020-03-31,47.97,$4.10,11.71
2019-12-31,52.79,$3.79,13.95
2019-09-30,45.21,$3.25,13.89
2019-06-30,41.72,$2.97,14.06
2019-03-31,46.51,$2.69,17.32
2018-12-31,40.39,$3.03,13.32
2018-09-30,40.45,$3.07,13.17
2018-06-30,42.26,$2.66,15.92
2018-03-31,44.02,$2.44,18.02
2017-12-31,38.76,$2.14,18.14
2017-09-30,31.79,$2.43,13.06
2017-06-30,27.96,$2.42,11.54
2017-03-31,29.67,$2.34,12.67
2016-12-31,29.62,$2.50,11.85
2016-09-30,30.6,$2.18,14.05
2016-06-30,26.39,$2.44,10.82
2016-03-31,25.8,$2.46,10.49
2015-12-31,27.23,$2.39,11.4
2015-09-30,23.64,$2.48,9.54
2015-06-30,23.68,$2.20,10.78
2015-03-31,24.17,$2.37,10.21
2014-12-31,27.85,$2.04,13.65
2014-09-30,26.54,$1.93,13.74
2014-06-30,23.39,$1.84,12.71
2014-03-31,19.38,$1.72,11.28
2013-12-31,19.3,$1.97,9.77
2013-09-30,16.88,$2.05,8.24
2013-06-30,17.68,$1.93,9.17
2013-03-31,15.78,$1.94,8.14
2012-12-31,14.75,$1.52,9.68
2012-09-30,16.04,$1.53,10.51
2012-06-30,18.7,$1.77,10.54
2012-03-31,19.59,$1.65,11.84
2011-12-31,16.76,$1.88,8.89
2011-09-30,14.62,$1.85,7.92
2011-06-30,15.04,$1.55,9.72
2011-03-31,13.59,$1.69,8.03
2010-12-31,14.05,$2.02,6.97
2010-09-30,12.73,$1.78,7.16
2010-06-30,12.8,$1.93,6.63
2010-03-31,14.56,$1.93,7.53
2009-12-31,13.22,$1.18,11.21
