Ares Commercial Real Estate Price to Free Cash Flow Ratio Historical Data,Ares Commercial Real Estate Price to Free Cash Flow Ratio Historical Data,Ares Commercial Real Estate Price to Free Cash Flow Ratio Historical Data,Ares Commercial Real Estate Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.92,,5.59
2024-12-31,5.89,$0.88,6.69
2024-09-30,7.0,$0.72,9.79
2024-06-30,6.42,$0.80,7.98
2024-03-31,6.93,$0.87,8.01
2023-12-31,9.32,$0.86,10.82
2023-09-30,8.31,$1.04,8.02
2023-06-30,8.56,$0.93,9.16
2023-03-31,7.41,$0.89,8.29
2022-12-31,8.08,$1.83,4.41
2022-09-30,7.93,$1.95,4.06
2022-06-30,8.97,$1.97,4.55
2022-03-31,11.06,$1.99,5.57
2021-12-31,10.13,$1.13,8.97
2021-09-30,10.26,$0.92,11.18
2021-06-30,9.77,$1.01,9.66
2021-03-31,8.91,$0.98,9.07
2020-12-31,7.54,$0.95,7.95
2020-09-30,5.63,$0.93,6.05
2020-06-30,5.42,$0.92,5.87
2020-03-31,4.01,$1.08,3.7
2019-12-31,8.69,$1.07,8.14
2019-09-30,8.18,$1.19,6.88
2019-06-30,7.81,$1.29,6.05
2019-03-31,7.81,$1.27,6.17
2018-12-31,6.56,$1.37,4.8
2018-09-30,6.87,$1.24,5.52
2018-06-30,6.65,$1.27,5.24
2018-03-31,5.83,$1.21,4.8
2017-12-31,5.95,$1.09,5.44
2017-09-30,6.02,$0.67,8.96
2017-06-30,5.8,$-0.87,0.0
2017-03-31,5.81,$-0.56,0.0
2016-12-31,5.85,$-0.17,0.0
2016-09-30,5.26,$2.46,2.14
2016-06-30,5.03,$2.98,1.69
2016-03-31,4.39,$5.83,0.75
2015-12-31,4.48,$9.61,0.47
2015-09-30,4.6,$-0.25,0.0
2015-06-30,4.28,$1.43,3.0
2015-03-31,4.06,$-3.74,0.0
2014-12-31,4.13,$-7.86,0.0
2014-09-30,4.11,$0.68,6.06
2014-06-30,4.28,$-0.35,0.0
2014-03-31,4.53,$1.47,3.08
2013-12-31,4.34,$1.33,3.26
2013-09-30,4.04,$0.45,8.96
2013-06-30,4.09,$0.61,6.69
2013-03-31,5.22,$0.43,12.14
