Travel + Leisure Price to Free Cash Flow Ratio Historical Data,Travel + Leisure Price to Free Cash Flow Ratio Historical Data,Travel + Leisure Price to Free Cash Flow Ratio Historical Data,Travel + Leisure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.6,,8.76
2024-12-31,50.45,$5.43,9.29
2024-09-30,45.65,$5.96,7.66
2024-06-30,44.04,$5.19,8.49
2024-03-31,47.4,$4.16,11.39
2023-12-31,37.44,$3.68,10.17
2023-09-30,34.8,$4.08,8.52
2023-06-30,37.79,$3.41,11.08
2023-03-31,36.33,$3.16,11.51
2022-12-31,33.33,$4.73,7.05
2022-09-30,30.91,$4.10,7.54
2022-06-30,34.84,$5.23,6.67
2022-03-31,51.51,$6.60,7.81
2021-12-31,48.77,$5.85,8.33
2021-09-30,47.78,$6.11,7.82
2021-06-30,51.81,$5.51,9.41
2021-03-31,53.05,$3.89,13.65
2020-12-31,38.72,$3.54,10.93
2020-09-30,26.36,$3.01,8.76
2020-06-30,23.94,$2.48,9.64
2020-03-31,18.16,$2.74,6.62
2019-12-31,42.57,$3.72,11.44
2019-09-30,37.56,$3.19,11.79
2019-06-30,35.5,$3.13,11.34
2019-03-31,32.4,$3.67,8.83
2018-12-31,28.37,$3.46,8.21
2018-09-30,33.95,$5.70,5.96
2018-06-30,34.32,$5.26,6.53
2018-03-31,39.72,$7.68,5.17
2017-12-31,39.99,$8.48,4.72
2017-09-30,36.19,$7.43,4.87
2017-06-30,34.27,$7.98,4.3
2017-03-31,28.59,$7.72,3.7
2016-12-31,25.73,$7.65,3.36
2016-09-30,22.53,$7.08,3.18
2016-06-30,23.67,$7.06,3.35
2016-03-31,25.21,$7.04,3.58
2015-12-31,23.8,$6.74,3.53
2015-09-30,23.43,$5.54,4.23
2015-06-30,26.54,$5.68,4.68
2015-03-31,29.17,$5.44,5.36
2014-12-31,27.53,$5.90,4.67
2014-09-30,25.97,$6.36,4.09
2014-06-30,24.1,$6.32,3.81
2014-03-31,23.19,$6.08,3.81
2013-12-31,23.23,$5.70,4.07
2013-09-30,19.06,$6.03,3.16
2013-06-30,17.8,$6.43,2.77
2013-03-31,19.97,$5.87,3.4
2012-12-31,16.4,$5.49,2.99
2012-09-30,16.1,$5.00,3.22
2012-06-30,16.11,$4.94,3.26
2012-03-31,14.14,$4.86,2.91
2011-12-31,11.44,$4.60,2.49
2011-09-30,8.58,$4.57,1.88
2011-06-30,10.08,$3.42,2.95
2011-03-31,9.49,$2.67,3.55
2010-12-31,8.89,$2.53,3.52
2010-09-30,8.12,$2.86,2.84
2010-06-30,5.92,$3.64,1.63
2010-03-31,7.53,$3.07,2.45
2009-12-31,5.87,$3.04,1.93
