Papa John's Price to Free Cash Flow Ratio Historical Data,Papa John's Price to Free Cash Flow Ratio Historical Data,Papa John's Price to Free Cash Flow Ratio Historical Data,Papa John's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.45,,43.68
2024-12-31,41.07,$1.04,39.47
2024-09-30,53.36,$2.95,18.07
2024-06-30,46.08,$2.14,21.53
2024-03-31,64.74,$2.83,22.9
2023-12-31,73.63,$3.51,20.97
2023-09-30,65.43,$2.63,24.89
2023-06-30,70.41,$2.50,28.21
2023-03-31,71.07,$1.34,53.15
2022-12-31,77.72,$1.10,70.43
2022-09-30,65.77,$-0.07,0.0
2022-06-30,78.11,$0.63,123.18
2022-03-31,98.04,$2.01,48.83
2021-12-31,123.93,$3.29,37.72
2021-09-30,117.6,$4.38,26.85
2021-06-30,96.45,$5.41,17.83
2021-03-31,81.67,$5.45,15.0
2020-12-31,78.0,$4.61,16.93
2020-09-30,75.42,$4.43,17.04
2020-06-30,72.62,$2.57,28.22
2020-03-31,48.67,$1.46,33.41
2019-12-31,57.39,$0.76,75.52
2019-09-30,47.4,$-0.09,0.0
2019-06-30,40.3,$0.40,100.62
2019-03-31,47.51,$0.91,52.35
2018-12-31,35.53,$1.56,22.76
2018-09-30,45.59,$2.65,17.18
2018-06-30,44.84,$2.59,17.29
2018-03-31,50.44,$2.21,22.84
2017-12-31,49.2,$2.26,21.81
2017-09-30,63.82,$2.27,28.11
2017-06-30,62.5,$2.31,27.06
2017-03-31,69.54,$2.77,25.14
2016-12-31,74.17,$2.52,29.45
2016-09-30,68.16,$3.16,21.58
2016-06-30,58.63,$3.24,18.09
2016-03-31,46.59,$3.10,15.04
2015-12-31,47.85,$3.29,14.56
2015-09-30,58.47,$2.97,19.68
2015-06-30,64.4,$2.63,24.51
2015-03-31,52.53,$2.22,23.7
2014-12-31,47.32,$1.77,26.69
2014-09-30,33.82,$1.46,23.15
2014-06-30,35.73,$1.33,26.86
2014-03-31,43.79,$1.14,38.33
2013-12-31,38.05,$1.14,33.26
2013-09-30,29.19,$0.67,43.39
2013-06-30,27.2,$0.74,36.72
2013-03-31,25.73,$0.89,29.04
2012-12-31,22.86,$1.29,17.7
2012-09-30,22.23,$1.53,14.5
2012-06-30,19.8,$1.67,11.88
2012-03-31,15.67,$1.76,8.89
2011-12-31,15.68,$1.42,11.07
2011-09-30,12.65,$1.75,7.25
2011-06-30,13.84,$1.42,9.78
2011-03-31,13.18,$1.27,10.34
2010-12-31,11.53,$1.16,9.93
2010-09-30,10.97,$0.90,12.12
2010-06-30,9.62,$1.09,8.82
2010-03-31,10.7,$1.09,9.86
2009-12-31,9.72,$1.26,7.72
