OneMain Holdings Price to Free Cash Flow Ratio Historical Data,OneMain Holdings Price to Free Cash Flow Ratio Historical Data,OneMain Holdings Price to Free Cash Flow Ratio Historical Data,OneMain Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.01,,2.23
2024-12-31,52.13,$22.47,2.32
2024-09-30,46.18,$21.85,2.11
2024-06-30,46.49,$21.13,2.2
2024-03-31,48.01,$20.88,2.3
2023-12-31,45.26,$20.88,2.17
2023-09-30,35.94,$20.49,1.75
2023-06-30,38.31,$20.06,1.91
2023-03-31,31.59,$19.49,1.62
2022-12-31,27.75,$19.19,1.45
2022-09-30,23.98,$18.50,1.3
2022-06-30,29.59,$17.94,1.65
2022-03-31,36.75,$17.10,2.15
2021-12-31,38.1,$16.89,2.26
2021-09-30,41.58,$16.61,2.5
2021-06-30,42.0,$15.83,2.65
2021-03-31,37.19,$16.37,2.27
2020-12-31,30.82,$16.40,1.88
2020-09-30,19.75,$16.76,1.18
2020-06-30,14.37,$17.88,0.8
2020-03-31,11.05,$17.45,0.63
2019-12-31,22.77,$17.33,1.31
2019-09-30,19.7,$17.02,1.16
2019-06-30,17.1,$16.50,1.04
2019-03-31,15.93,$14.98,1.06
2018-12-31,12.1,$15.04,0.8
2018-09-30,16.74,$13.02,1.29
2018-06-30,16.58,$12.94,1.28
2018-03-31,14.91,$12.27,1.22
2017-12-31,12.95,$11.46,1.13
2017-09-30,14.04,$10.45,1.34
2017-06-30,12.25,$10.36,1.18
2017-03-31,12.38,$9.97,1.24
2016-12-31,11.03,$9.78,1.13
2016-09-30,15.42,$14.37,1.07
