Avery Dennison Price to Free Cash Flow Ratio Historical Data,Avery Dennison Price to Free Cash Flow Ratio Historical Data,Avery Dennison Price to Free Cash Flow Ratio Historical Data,Avery Dennison Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,177.05,,20.42
2024-12-31,187.13,$8.67,21.59
2024-09-30,219.81,$7.93,27.72
2024-06-30,216.84,$8.46,25.64
2024-03-31,221.4,$8.31,26.66
2023-12-31,199.74,$6.68,29.89
2023-09-30,179.73,$6.99,25.72
2023-06-30,168.29,$5.48,30.71
2023-03-31,174.43,$6.40,27.26
2022-12-31,175.73,$8.09,21.73
2022-09-30,157.34,$6.94,22.67
2022-06-30,155.9,$8.04,19.39
2022-03-31,166.83,$7.94,21.01
2021-12-31,206.84,$9.26,22.34
2021-09-30,197.25,$9.89,19.95
2021-06-30,199.53,$9.77,20.43
2021-03-31,173.76,$9.03,19.23
2020-12-31,146.25,$6.44,22.7
2020-09-30,120.05,$6.15,19.53
2020-06-30,106.61,$5.35,19.93
2020-03-31,94.71,$5.49,17.26
2019-12-31,121.04,$5.85,20.7
2019-09-30,104.61,$5.60,18.68
2019-06-30,106.0,$2.77,38.24
2019-03-31,102.99,$2.55,40.44
2018-12-31,81.87,$2.38,34.43
2018-09-30,98.75,$2.34,42.23
2018-06-30,92.59,$5.08,18.22
2018-03-31,95.89,$4.76,20.15
2017-12-31,103.26,$4.72,21.86
2017-09-30,88.06,$4.36,20.19
2017-06-30,78.76,$3.61,21.81
2017-03-31,71.45,$4.34,16.46
2016-12-31,61.93,$4.23,14.63
2016-09-30,68.23,$4.25,16.07
2016-06-30,65.22,$4.01,16.26
2016-03-31,62.57,$3.39,18.44
2015-12-31,54.06,$3.55,15.23
2015-09-30,48.54,$3.11,15.58
2015-06-30,51.95,$3.88,13.4
2015-03-31,44.84,$3.30,13.58
2014-12-31,43.68,$1.92,22.7
2014-09-30,37.33,$2.49,14.96
2014-06-30,42.54,$1.05,40.61
2014-03-31,41.76,$1.11,37.54
2013-12-31,41.13,$1.77,23.27
2013-09-30,35.45,$2.41,14.69
2013-06-30,34.6,$3.63,9.53
2013-03-31,34.62,$2.78,12.46
2012-12-31,27.89,$3.47,8.03
2012-09-30,25.2,$3.69,6.84
2012-06-30,21.47,$4.09,5.25
2012-03-31,23.43,$3.89,6.03
2011-12-31,22.1,$2.73,8.09
2011-09-30,19.15,$1.72,11.14
2011-06-30,29.23,$0.98,29.72
2011-03-31,31.56,$2.56,12.35
2010-12-31,31.65,$3.51,9.02
2010-09-30,27.6,$4.06,6.79
2010-06-30,23.74,$4.56,5.21
2010-03-31,26.75,$4.04,6.62
2009-12-31,26.64,$4.41,6.04
